SCARBOROUGH MAY LODGE,,,,,,,,,,,,
Grid ref,TA041871,Long,-0.403049,Lat,54.268969,,,,,,,
Station no,RR7903,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.86,0.91,,
February,,,,,,,,,1.92,1.41,,
March,,,,,,,,,3.16,5.67,,
April,,,,,,,,,2.34,2.59,,
May,,,,,,,,,1.31,1.67,,
June,,,,,,,,,1.69,2.92,,
July,,,,,,,,,1.66,3.38,,
August,,,,,,,,,2.25,4.58,,
September,,,,,,,,,2.49,2.16,,
October,,,,,,,,,1.53,2.73,,
November,,,,,,,,,1.75,1.71,,
December,,,,,,,,,2.33,4.31,,
Total,,,,,,,,,24.29,34.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.29,34.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
