TAMWORTH-SEWAGE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK196042,Long,-1.7118218,Lat,52.6352,Elevation,182,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2336/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.65,3.03,3.02,2.45,4.34,2.34,1.69,2.05,2.13,4.45,1.19,0.49,2.38,2.78,0.84,0.91,1.82,2.95,1.38,1.87,2.96,5.11
February,,,,,,,,,1.01,2.14,2.22,0.92,0.9,1.69,2.21,3.44,1.11,1.12,0.72,4.23,2.21,0.45,1.29,2.14,1.87,0.48,2.26,3.73,0.15,1.62
March,,,,,,,,,1.15,1.63,1.93,1.67,0.9,0.23,0.72,0.63,5.13,1.01,1.48,1.25,3.67,1.89,1.27,1.98,3.02,1.02,2.23,1.61,1.59,1.36
April,,,,,,,,,1.3,2.51,1.47,1.13,0.88,2.01,1.11,1.31,2.03,1.69,2.31,1.98,1.71,2.63,2.08,0.43,0.98,1.02,0.18,0.79,2.86,0.71
May,,,,,,,,,1.24,1.72,2.57,2.4,3.09,0.63,3.42,1.94,2.07,1.86,2.57,1.15,3.3,2.35,1.94,2.11,3.79,0.59,1.13,1.69,0.43,1.14
June,,,,,,,,,1.02,1.48,1.12,0.09,1.71,1.54,2.72,2.87,1.36,2.56,0.41,1.45,1.43,1.64,2.12,3.37,2.41,1.97,1.2,3.73,0.71,2.73
July,,,,,,,,,4.15,3.34,7.14,1.81,0.77,2.45,1.84,1.43,4.83,1.66,3.7,1.87,0.78,1.36,1.74,2.89,0.47,1.97,2.31,4.33,1.42,2.56
August,,,,,,,,,2.97,0.33,4.14,2.61,1.43,2.61,2.15,6.06,0.5,3.88,1.25,3.17,6.19,2.07,2.18,5.77,0.55,3.72,2.84,2.51,1.92,3.99
September,,,,,,,,,1.12,0.54,0.42,1.26,1.32,3.01,1.13,2.98,1.41,2.62,1.12,3.4,1.86,1.04,2.02,1.34,1.54,1.85,4.61,2.53,0.13,4.92
October,,,,,,,,,2.9,3.44,2.13,2.04,1.65,2.74,3.73,0.74,0.35,2.88,4.92,0.86,0.67,3.22,2.01,3.24,1.52,1.4,1.21,2.7,2.23,4.37
November,,,,,,,,,3.86,4.81,2.52,1.48,1.39,4.13,0.29,5.46,2.02,1.51,2.92,3.43,5.2,1.66,1.3,4.54,2.14,0.86,1.82,1.71,2.91,3.04
December,,,,,,,,,1.25,1.63,1.27,2.31,1.01,1.62,2.19,2.39,1.92,4.01,1.52,1.56,1.92,2.64,1.19,2.12,1.79,2.93,1.73,2.52,3.17,3.64
Total,,,,,,,,,26.62,26.6,29.95,20.17,19.39,25,23.2,31.3,24.86,29.25,24.11,24.84,31.32,23.73,19.98,30.84,21.9,20.76,22.9,29.72,20.48,35.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Tamworth Sewage Pumping Station. Stated altitude is about 15 ft. too low. 1950s record has the NGR as SK200041, 400m E, which is not the pumping station but the altitude is the same as that for the NGR used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
