"TAMWORTH (SEWAGE PUMPING STATION)",,,,,,,,,,,,
Grid ref,SK200041,Long,-1.705917,Lat,52.634286,,,,,,,
Station no,2336/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,2.78,0.84,0.91,1.82,2.95,1.38,1.87,2.96,5.11,,
February,2.21,0.45,1.29,2.14,1.87,0.48,2.26,3.73,0.15,1.62,,
March,3.67,1.89,1.27,1.98,3.02,1.02,2.23,1.61,1.59,1.36,,
April,1.71,2.63,2.08,0.43,0.98,1.02,0.18,0.79,2.86,0.71,,
May,3.30,2.35,1.94,2.11,3.79,0.59,1.13,1.69,0.43,1.14,,
June,1.43,1.64,2.12,3.37,2.41,1.97,1.20,3.73,0.71,2.73,,
July,0.78,1.36,1.74,2.89,0.47,1.97,2.31,4.33,1.42,2.56,,
August,6.19,2.07,2.18,5.77,0.55,3.72,2.84,2.51,1.92,3.99,,
September,1.86,1.04,2.02,1.34,1.54,1.85,4.61,2.53,0.13,4.92,,
October,0.67,3.22,2.01,3.24,1.52,1.40,1.21,2.70,2.23,4.37,,
November,5.20,1.66,1.30,4.54,2.14,0.86,1.82,1.71,2.91,3.04,,
December,1.92,2.64,1.19,2.12,1.79,2.93,1.73,2.52,3.17,3.64,,
Total,31.32,23.73,19.98,30.84,21.90,20.76,22.90,29.72,20.48,35.19,,
Calc annual,31.32,23.73,19.98,30.84,21.90,20.76,22.90,29.72,20.48,35.19,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
