"AIRDRIE, HILLEND RESERVOIR",,,,,,,,,,,,
Grid ref,NS826676,Long,-3.878560,Lat,55.887183,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.83,2.25,4.03,5.65,3.52,2.02,3.87,3.06,3.44,4.40,,
February,2.58,1.35,1.01,7.71,2.26,2.21,2.07,2.83,1.97,2.07,,
March,0.60,1.95,2.54,6.87,1.44,4.03,2.88,3.53,4.17,3.27,,
April,2.19,2.04,0.78,1.37,5.13,2.65,1.53,1.39,1.09,4.17,,
May,1.97,2.01,1.56,2.01,3.09,1.65,4.88,3.41,3.37,2.77,,
June,3.61,2.86,2.22,1.83,1.32,0.79,1.72,4.28,2.08,2.04,,
July,4.37,1.49,3.65,3.71,3.15,3.11,2.55,2.69,3.27,3.82,,
August,4.19,4.83,1.87,5.90,3.62,3.83,6.59,5.04,2.53,3.35,,
September,3.67,1.85,2.28,2.99,2.40,2.39,2.40,1.38,6.51,2.09,,
October,4.78,3.95,1.89,7.45,2.09,2.30,7.34,8.11,1.26,5.03,,
November,6.02,3.71,1.58,2.54,1.96,3.76,4.73,2.12,3.17,2.24,,
December,6.04,3.76,3.48,2.23,4.61,3.39,3.06,4.53,1.70,4.72,,
Total,44.85,32.05,26.89,50.26,34.59,32.13,43.62,42.37,34.56,39.97,,
Calc annual,44.85,32.05,26.89,50.26,34.59,32.13,43.62,42.37,34.56,39.97,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
