"FORRES H.R.S., ELGIN",,,,,,,,,,,,
Grid ref,NJ029588,Long,-3.626738,Lat,57.608707,,,,,,,
Station no,RR1968,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,1.41,,,,,,,,,,
February,2.95,2.22,,,,,,,,,,
March,2.09,1.63,,,,,,,,,,
April,1.65,1.39,,,,,,,,,,
May,1.12,1.20,,,,,,,,,,
June,1.28,2.48,,,,,,,,,,
July,2.79,3.75,,,,,,,,,,
August,3.49,2.60,,,,,,,,,,
September,1.90,1.20,,,,,,,,,,
October,3.22,,,,,,,,,,,
November,2.47,,,,,,,,,,,
December,3.60,,,,,,,,,,,
Total,29.65,,,,,,,,,,,
Calc annual,29.65,17.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
