AFTON RESERVOIR (GREEN BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS633035,Long,-4.155099,Lat,55.306548,Elevation,1415,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5273/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,19.26,11.92,16.15,6.9,9.3,17.1,15,8.2,2.6,1.9,9.1,12.9,12.5,6.6,12.5,9.4,13,9.9,6.1,9.2,9.2,5,8.6,8.75,6.6,11.9,11.05,5.7,8.9
February,,0.15,7.52,2,13.4,3.7,10,8.7,12.5,3.6,7.4,3.5,11.6,5.1,14.2,6.6,1,8.9,9.6,8,7.2,4.11,3.1,7,3.2,2.4,7.55,7.9,3.85,10.6
March,,5.1,4.93,4.7,4.6,6.2,2.5,8.5,10.9,10.3,4.3,5,5.3,1.7,5.9,3.7,7.7,8,4.75,8.85,5.9,5.5,1.5,6,2.8,5.1,9.55,2.75,7.7,3.1
April,,7.98,5.48,6.3,5.5,2,4.7,1.9,5.2,4.1,3.8,6.2,8.1,5.4,4.6,3.6,13.7,4.8,11.2,7.5,5.6,5.7,5.1,3.35,5.62,2.5,5.05,3.5,7.7,8.9
May,,4.91,5.98,8,1.4,2.8,3.4,8.95,1.8,2.1,7,6.2,6.6,5.1,6.8,1.8,6.8,2.7,4,3.35,2.95,3.73,4.9,7.9,7.1,4.35,5.7,5.1,2.55,3.3
June,,4.05,5.05,3.45,9.6,3.6,6.5,11.3,7,2.5,2.2,2,10.2,6.4,7.6,5.9,7.9,9.15,1.8,6.2,2.9,5.4,3.5,7.35,5.45,8.35,2.85,5.85,4.55,6.95
July,,9.75,10.33,5.6,5.3,9.5,8.95,10.4,8.1,7.8,5.4,9.3,3.9,6.2,6.2,6.7,7,5.7,2.75,9.9,5.3,8.2,8.7,8.6,2.55,9.75,7.4,6.4,9.4,7.15
August,,3.29,5.4,9.1,2.7,6.9,5.4,6.9,2.15,6,10.8,13.5,10.1,6,3.2,6.3,0.15,10.4,6.8,9.7,14.3,6.9,6.5,7.6,2.65,12.6,9.45,8.2,3.25,5.95
September,,10.39,2,13.2,9.7,8.7,6.2,9.2,3.95,10,6.5,10.7,6.3,9.2,11.9,13.4,10.1,10.9,3.75,19.6,10.1,5.1,11.25,14.25,8.65,8.65,7.1,9.6,3.1,6.35
October,,12.9,5.5,16.4,17.6,11.8,6.2,16.2,4.6,10.2,7.6,13.5,16.9,9.5,8.8,1.3,3.7,8.5,10.2,8.2,1.95,8.3,7.3,14.4,7.35,6.65,8.6,7.75,11,6.4
November,,7.42,3.5,3.3,11.1,9.5,1.3,16.8,16.5,11.6,10.9,2.9,8,12.6,1.6,14.8,11.25,6.8,13,7.2,18,4.8,12.3,14.9,6.35,5.15,4.8,4,13.85,14.5
December,,19.03,3.2,17,9.8,15.2,3.6,8.2,5.7,12.1,6.8,18,6.4,11.8,8.9,8.5,5.5,12,15.95,4.95,15.6,8.2,9,14.75,13.1,13.45,9.8,9.55,16.35,8.55
Total,,104.23,70.81,105.2,97.6,89.2,75.85,122.05,86.6,82.9,74.6,99.9,106.3,91.5,86.3,85.1,84.2,100.85,93.7,99.55,99,75.14,78.15,114.7,73.57,85.55,89.75,81.65,89,90.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
