BELFORD MIDDLETON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NU095355,Long,-1.850747,Lat,55.613008,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.47,2.64,2.05,1.75,2.57,2.53,1.3,1.45,3.98,1.39,0.9,1.94,0.8,2.98,2.77,0.91,0.35,1.3,0.36,1.63,2.53,1.42,1.67,1.35,1.09,0.8,1.78,1.26,0.91,1.35,1.26,3.04,0.98,2.14,0.4,1.82,3.7,4.24,1.31,4.1,1,,1.42,0.23,1.51,1.19,1.78,1.32,2.96,2.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.18,0.6,2.85,0.5,1.73,1.26,0.68,2.6,1.43,1.3,2.07,1.06,3.49,2.01,0.98,3.38,1.91,1.58,0.65,2.82,0.92,1.07,0.64,0.61,0.71,0.54,1.36,0.09,1.35,1.73,3.06,1.18,0.3,0.86,1.12,1.18,4,1.26,2.69,2.2,3.4,,1.7,1.19,0.73,3.78,1.8,0.7,2.54,1.3,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,2.76,1.81,3.82,1.87,1.5,1.13,1.02,1.11,1.29,1.6,1.63,0.65,2.95,2.51,1.02,1.05,1.81,1.7,1.08,2.16,2.62,1.67,1.3,1.49,2.3,2.93,2.77,3.1,1.42,0.53,0.45,2.39,1.42,3.72,0.83,1.61,3.2,2.3,1.2,2.4,2.1,,1.77,1.3,3.2,3.58,0.54,1.72,1.86,3.26,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.04,0.85,1.64,1.8,3,2.07,0.72,4.2,3.3,0.58,0.84,1.08,3.93,3.16,1.12,2.17,1.13,1.31,3.37,1.42,1.47,2.78,1.2,1.09,1.39,2.6,0.68,2.49,0.74,0.84,1.11,1.29,0.78,1.49,1.55,3.49,2.2,2.15,3,2.2,1.4,,0.89,2.5,1.93,3.84,1.28,1.36,0.4,1.44,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,2.82,5.54,1.1,2.08,1.56,3,0.97,1.25,3.69,2.12,1.75,0.38,1.01,2.68,1.87,2.28,1.41,2.72,2.27,1.78,1.23,2.99,2.98,2.03,0.61,1.52,1.61,1.29,2.88,1.18,2.6,0.73,0.44,1.73,4.05,3.46,1.52,2.7,2.9,2,2.5,0.76,9.7,3.1,2.45,2.96,2.56,-999,1.65,2.45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.7,1.47,0.96,2.78,0.73,0.44,1.09,2.11,2.26,1.17,0.92,3.86,2.62,1.89,2.31,4.05,1.9,1.39,3.89,2.63,0.87,1.48,1.57,0.34,2.61,0.59,3.47,0.74,3.3,1.44,2.18,2.14,1.38,3.36,0.35,1.64,4.13,1.3,2.62,2.4,0.6,0.67,3.2,5.9,0.98,2.24,0.69,-999,5.35,1.12,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.89,1.28,3.69,3.44,0.83,0.03,1.85,1.09,3.84,3.21,2.22,2.57,1.32,4.61,0.76,6.15,3.01,3.51,2.98,6.26,4.69,2.25,3.4,2.59,4.72,3.88,2.24,1.99,1.52,3.07,1.51,,2.92,3.72,1.35,4.41,1.45,2.55,2.18,3.37,3,1.97,0.84,1.92,2.25,2.54,1.26,0.9,1,0.62,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.12,2.24,4.07,3.9,4.96,2.65,0.93,1.52,3.84,3.9,3.42,1.93,2.7,7.78,4.79,3.31,0.65,5.9,2.05,2.1,1.03,2.29,1.22,1.75,1.56,4.16,4.89,3.55,3.98,1.56,2.69,,2.72,1.89,1.25,1.36,3.55,2.21,1.7,2.7,2.25,2.9,5.93,2.69,0.95,2.24,4.9,1.74,4.36,1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,3.54,0.63,1.47,2.04,4.06,3.72,0.98,4.09,4.43,3.88,1.76,2.16,3.17,2.28,2.48,0.72,5.71,5.59,1.23,3.87,2.13,3.23,1.62,4.66,1.21,2.78,1.74,2.66,2.01,1.66,1.06,,3.21,2.36,2.79,3.2,1.1,1.01,1.1,3,1.5,2.41,0.15,0.98,4.5,2.14,0.92,1.66,1.66,1.34,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,6.33,8.01,0.47,1.16,2.16,1.62,2.69,2.29,7.09,3.65,1.51,4.64,1.45,4.08,2.48,1.04,2.97,2.36,3.03,2.13,1.68,3.99,3.71,1.42,0.95,3.92,2.77,1.92,4.95,2.17,4.09,,8.21,0.34,5.94,1.6,4.15,2.1,1.65,9.88,0.85,6.12,3.74,5.62,1.19,4.32,2.68,2.94,4.68,0.88,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
