GREAT-SALING-WOOLPITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL690262,Long,0.45544769,Lat,51.908698,Elevation,284,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.74,1.37,,0.83,1.52,3.07,2.3,2.05,1.75,3.33,1.19,2.42,1.42,2.31,1.06,3.09,1.75,1.56,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.62,1.68,,3.37,0.59,0.41,2.47,0.51,0.52,1.67,2.68,0.85,2.09,2.4,3.3,1.12,0.61,0.59,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.5,3.44,,3.49,1.51,0.89,2.12,1.33,0.68,1.52,1.74,0.73,0.82,0.06,1.91,2.39,0.13,1.4,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.64,0.75,,1.02,1.54,2.72,3.21,4.39,1.5,2.59,1.27,2.65,1.62,3.32,2.35,0.92,1.61,2.11,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.98,1.11,,2.03,1.16,1.64,0.5,0.83,0.85,0.83,1.35,4.81,2.38,1.41,1.13,1.67,1.25,2.65,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.55,2.09,,2.69,0.69,0.91,1.46,1.23,0.26,1.65,0.83,3.03,0.39,3.72,2.95,2.94,0.64,0.97,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.53,1.86,3.59,0.89,2.35,4.11,2.42,3.96,0.37,3.05,1.52,3.31,3.38,2.76,3.1,1.73,1.8,2.74,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,0.35,0.87,,3.61,4.62,0.92,1.88,1.45,1.01,1.62,2.23,2.44,3.37,1.43,3.48,2.11,1.45,2.33,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.18,0.98,,1.28,1.34,3.64,1.12,2.59,1.97,2.46,1.71,2.68,2.78,0.92,4.46,0.7,1.06,3.76,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.67,1.45,,3.35,3.37,1.65,0.85,0.96,1.12,0.79,4.16,3.4,2.8,2.36,1.57,3.15,2.98,1.24,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
