WINCHESTER-KINGS-WORTHY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU490328,Long,-1.30088,Lat,51.09243,Elevation,220,ft,,,,,,,,,,,,
Station no,724/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.89,0.5,5.69,7.25,,5.59,2.65,2.87,3.38,5.81,2.7,,,,,,
February,,,4.66,0.09,4.05,3.32,5.96,,1.93,3.44,3.08,0.52,1.62,0.47,,,,,,
March,,,3.91,3.39,0.71,2.69,4.81,,1.36,3.16,4.15,2.42,0.58,0.31,,,,,,
April,,,1.53,2.24,4.65,2.39,2.56,,1.94,0.94,1.9,2.03,0.9,1.49,,,,,,
May,,,1.73,1.1,1.12,0.42,2.53,,1.25,0.84,1.98,3.64,3.47,0.33,,,,,,
June,,,,1.3,4.7,2.27,1.87,,2.12,0.47,1.36,0.39,1.33,2.77,,,,,,
July,,,1.58,1.86,4.64,4.78,0.94,,6.65,3.53,3.22,1.58,2.23,2.08,,,,,,
August,,,1.11,3.3,2.45,0.33,1.16,,1.8,0,5.41,3.69,1.62,1.98,,,,,,
September,,,2.77,1.99,4.37,4.22,1.92,,1.08,2.14,0.49,2.21,1.58,2.15,,,,,,
October,,,2.46,1.39,5.09,1.78,4.53,,4.61,4.16,1.39,3.73,4.21,5.39,,,,,,
November,,,0.71,2.02,7.38,3.46,2.23,,6.41,8.43,3.57,1.88,1.48,6.07,,,,,,
December,,,0.53,10.06,3.83,3.92,3.86,,1.99,2.03,1.83,4.67,2.13,3.13,,,,,,
Total,,,,31.63,43.49,35.27,39.62,,36.73,31.79,31.25,30.14,26.96,28.87,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer at Yateley Cottage which matches distances and directions to church and station,,,,,,,,,,,,,,,,,,,,
The given elevation of 304ft is too high within the village Outside is higher but too far from church,,,,,,,,,,,,,,,,,,,,
1933 Jan Jun Adjusted by nearby stations,,,,,,,,,,,,,,,,,,,,
1941 Not printed Late,,,,,,,,,,,,,,,,,,,,
