STOURHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST778341,Long,-2.318467,Lat,51.105764,Elevation,583,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.39,1.78,5.9,6.67,1.57,4.47,2.05,1.58,4.76,4.89,6.54,3.43,5.27,2.34,5.08,3.97,5.73,4.21,5.85,1.83,5.84,3.23,3.66,3.53,3.68,0.87,4.85,6.79,3.82,7.35,2.91,3.9,4.93,7.76,2.98,2.6,3.94,3.68,7.47,1.2,0.71,4.7,3.57,1.06,2.29,3.77,5.19,3.61,4.19,6.11,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.91,3.06,3.14,1.29,3.41,6.25,4.28,1.43,2.73,3.49,1.94,0.32,3.83,9.07,0.34,4.94,2.37,4.65,3.26,1.15,0.99,3.05,0.08,5.32,0.23,4.54,2.83,6.5,1.28,2.26,3.96,4.67,0.78,1.7,1.15,2.99,3.35,1.41,1.91,1.74,5.6,5.55,1.28,2.09,3.3,2.38,0.26,3.7,4.22,0.31,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.02,2.66,6.14,3.55,6.8,1.06,1.2,3.97,1.35,5.58,2.92,2.52,3.22,2.68,1.79,0.49,1.71,4.14,2.71,0.31,2.37,0.97,2.14,4.52,3.71,1.31,4.33,4.19,0.39,1.52,2.73,3.89,3.01,1.1,0.57,1.47,1.18,7.73,1.48,1.79,1.25,4.29,4.94,0.96,4.56,1.57,2.1,2.99,1.95,4.72,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.74,2.63,0.19,3.64,1.9,1.22,1.29,2.07,2.92,2.27,5.55,1.47,4.07,3.24,3.49,2.71,4.89,1.89,1.75,1.03,2.57,3.1,4.01,1.93,3.06,5.04,2.09,3.25,0.13,3.24,2.05,1.75,1.97,1.22,1.95,1.04,3.32,2.64,1.93,2.04,4.14,4.03,1.89,3.56,0.51,1.33,1.32,0.37,1.15,2.77,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2.18,2.43,1.87,2.76,2.25,3.51,2.19,2.65,1.65,1.09,2.28,3,0.75,1.91,5.51,4.63,3.38,1.12,1.42,1.55,2.56,3.2,5,2.61,1.26,0.86,0.7,2.78,3.03,0.84,1.6,1.88,5.36,2.8,0.85,3.58,4.92,2.28,4.49,2.67,2.08,2.72,3.48,2.52,2.33,4.43,0.63,1.94,2.85,1.26,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,5.21,2.81,5.36,0.97,1.59,0.93,2.51,7.73,1.36,0.88,3.57,0.39,1.13,0.7,2.09,0.02,3.43,3.59,3.26,1.08,0.39,3.57,1.82,3.32,1.23,5.5,2.25,1.64,2.17,2.91,0.6,2.41,0.43,2.26,2.23,3.99,3.69,2.08,3.74,0.63,2.38,2.03,2.27,2.57,4.81,2.85,2.48,1.41,5.92,0.84,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.61,0.04,3.85,0.55,3.61,5.62,1.95,3.82,7.86,2.08,6.68,0.84,4.89,1.48,4.79,3.08,1.63,3.75,2.18,1.23,3.27,6.73,2.64,3.23,1.65,0.56,8.25,4.63,3.38,6.83,3.66,2.24,2.59,2.92,3.47,1.74,1.39,2.46,1.51,1.12,5.75,1.6,1.04,4.88,3.75,0.96,3.45,5.37,2.37,1.87,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.85,1.16,6.23,1.13,3.68,3.55,6.18,7.17,3.69,4.42,1.92,1.82,4.74,3.9,5.72,5.88,1.35,4.27,1.82,2.1,4.48,5.74,0.97,0.95,3.7,2.55,0.76,1.65,2.99,3.79,0.3,5.84,4.98,4.76,2.97,2.51,5.05,0.52,4.24,1.7,6.08,5.97,4.45,3.9,4.4,1.1,6.12,3.8,4.62,1.9,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.29,1.28,1.35,3.88,1.68,1.99,4.42,2.49,6.65,1.91,1.58,2.12,2.67,6,4.63,4.37,0.89,6.58,1.79,0.55,5.4,1.9,6.19,2.21,3.83,4.37,4.41,2.99,1.81,0.75,2.33,0.52,2.55,3.68,2.82,2.97,6.31,1.76,3.33,2.2,4.9,2.55,3.84,3.92,3.83,1.9,4.37,4.6,6.82,0.28,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.68,3.23,4.92,3.28,3.41,6.14,7.21,5.58,2.5,1.95,3.75,1.3,1.49,6.57,6.48,4.44,3.55,2.78,6.02,6.73,3.1,0.84,8.53,3.18,3.33,5.61,2.83,6.01,4.57,4.67,4.85,1.5,4.14,4.24,5.38,4.58,1.57,0.6,3.33,5.94,1.81,0.96,5.15,3.71,4.23,2.85,2.26,2.82,3.07,3.57,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,4.35,3.48,2.56,4.06,4.71,2.58,5.36,1.1,2.7,2.97,1.81,2.58,2.32,3.1,3.39,2.54,7.05,4.38,4.63,8.87,6.08,5.33,3.34,0.97,1.92,7.4,4.08,2.35,5.33,9,10.3,2.14,1.84,3.75,7.91,0.47,6.91,2.15,2.37,4.56,7.68,10.63,4.57,2.13,7.77,4.43,1.04,2.58,2.96,4.28,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
