"STOURHEAD",,,,,,,,,,,,
Grid ref,ST778341,Long,-2.318467,Lat,51.105764,,,,,,,
Station no,1503,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.70,3.57,1.06,2.29,3.77,5.19,3.61,4.19,6.11,4.69,,
February,5.55,1.28,2.09,3.30,2.38,0.26,3.70,4.22,0.31,3.25,,
March,4.29,4.94,0.96,4.56,1.57,2.10,2.99,1.95,4.72,2.38,,
April,4.03,1.89,3.56,0.51,1.33,1.32,0.37,1.15,2.77,2.44,,
May,2.72,3.48,2.52,2.33,4.43,0.63,1.94,2.85,1.26,1.37,,
June,2.03,2.27,2.57,4.81,2.85,2.48,1.41,5.92,0.84,2.83,,
July,1.60,1.04,4.88,3.75,0.96,3.45,5.37,2.37,1.87,4.64,,
August,5.97,4.45,3.90,4.40,1.10,6.12,3.80,4.62,1.90,5.55,,
September,2.55,3.84,3.92,3.83,1.90,4.37,4.60,6.82,0.28,4.55,,
October,0.96,5.15,3.71,4.23,2.85,2.26,2.82,3.07,3.57,8.94,,
November,10.63,4.57,2.13,7.77,4.43,1.04,2.58,2.96,4.28,5.69,,
December,3.00,3.92,1.34,3.52,5.81,4.28,4.04,4.69,9.09,5.39,,
Total,48.03,40.40,32.64,45.30,33.38,33.50,37.23,44.81,37.00,51.72,,
Calc annual,48.03,40.40,32.64,45.30,33.38,33.50,37.23,44.81,37.00,51.72,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
