ULPHA VICARAGE (BROUGHTON IN FURNESS),,,,,,,,,,,,,,,,,,,,
Grid ref,SD195929,Long,-3.2392463,Lat,54.3253,Elevation,173,ft,,,,,,,,,,,,
Station no,RR4488,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,5.58,11.16,5.61,8.28,4.11,9.38,4.34,6.11,1.95,7.89,
February,,,,,,,,,,4.37,1.79,0.9,2.86,10.42,9.78,1.58,5.85,5.23,6.25,
March,,,,,,,,,,5.53,5.77,2.62,2.29,4.08,4.54,7.74,9.38,9.9,2.74,
April,,,,,,,,,,3.55,3.73,4.21,2.86,1.5,1.78,4.64,2.91,4.51,6.4,
May,,,,,,,,,,4.58,4.19,3.07,7.9,3.35,5.78,0.83,0.59,3.42,4.53,
June,,,,,,,,,,1.19,8.97,2.22,4.16,3.24,4.95,2.03,4.2,8.27,5.2,
July,,,,,,,,,,4.39,7.1,4.29,5.28,6.35,6.2,7.47,7.7,3.87,2.16,
August,,,,,,,,,6.59,9.84,7.64,14.39,9.46,8.64,8.8,7.42,5.34,10.85,12.53,
September,,,,,,,,,4.11,5.99,9.24,10.23,10.11,8,0.35,2.15,10.93,7.21,4,
October,,,,,,,,,7.42,8.35,7.19,9.46,8.49,9.74,8.01,7.87,8.42,4.83,6.39,
November,,,,,,,,,11.19,5.67,16.42,8.46,7.75,5.97,11.7,5.93,2.72,11.41,7.31,
December,,,,,,,,,8.93,11,1.04,13.19,5.83,9.59,10.33,7.61,10.38,11.62,8.35,
Total,,,,,,,,,,70.04,84.24,78.65,75.27,74.99,81.6,59.61,74.53,83.07,73.75,
,,,,,,,,,,,,,,,,,,,,
1897 end of July gauge moved ca 200m east to the school - in Lancashire as the time,,,,,,,,,,,,,,,,,,,,
