HAWICK WOLFELEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT588092,Long,-2.651681,Lat,55.375044,Elevation,587,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,9,,5.2,3.9,4.42,3.26,6.43,8.15,4.39,6.82,3.38,8.16,4.18,1.35,2.87,1.21,3.21,6.8,6.4,3.72,3.73,3.34,1.43,1.62,7.99,2.66,2.5,2.14,6.06,3.29,1.98,1.4,1.82,5.85,4.06,1.83,2.22,7.43,3.81,0.79,2.75,0.66,2.88,2.97,2.45,1.31,3.79,3.19,3.17,1.86,4.98,4.5,5.53,3.03,4.19,6.29,2.96,2.56,3.4,3.71,4.53,4.23,9.22,1.35,4.79,3.05,4.85,5.04,3.78,2.27,5.41,4.61,4.83,6.33,1.43,2.48,3.57,5.7,2.37,4.14,3.63,4.03,6.22,,
February,,,,,,,5.59,,6.48,5.39,3.72,3.63,4.23,1.74,3.06,1.21,4.89,2.09,1.96,4.02,4.49,3.05,4.85,4.65,4.45,5.88,0.85,2.29,1.95,1.98,1.17,0.11,1.85,4.27,11.16,1.29,2.28,3.41,2.57,3.85,4.5,1.44,1.81,7.82,4.07,1.42,1.88,1.42,2.04,1.75,4.43,1.99,3.03,2.19,4.69,6.3,4.14,1.17,3.56,1.57,3.51,0.49,3.15,5.44,0.97,5.14,3.49,1.58,3.36,1.03,0.89,2.67,0.69,3.8,0.22,3.22,3.81,4.9,1.58,4.43,1.25,4.1,2.16,2.04,2.25,3,1.57,1.55,3.33,,
March,,,,,,,1.7,,4.85,0.9,1.5,3.34,4.18,2.3,2.53,2.15,4.38,2.07,1.56,4.63,2.25,3.62,4.23,2.56,4.5,1.49,4.59,1.8,3.24,3.24,3.12,3.77,1.17,1.25,2.78,5.7,4.18,5.21,2,4.25,1.1,2.95,2.27,9.42,2.99,3.17,1.86,2.39,3.93,4.7,2.35,2.57,3.26,5.12,3.75,2.78,3.8,2.12,1.03,3.73,5.51,4.14,2.61,1.31,0.95,2.3,1.65,2.85,5.34,0.24,2.48,1.22,2.98,1.39,3.72,1.16,2.93,2.72,1.26,4.26,4.32,2.39,2.29,1.22,0.56,1.49,2.42,5.8,2.71,,
April,,,,,,,4.35,,3.14,1.2,1,4.56,3.08,0.43,4.83,1,3.23,3.72,1.87,1.87,3.63,1.44,3.37,1.7,2.47,3.45,2.66,1.44,2.55,2.56,0.9,1.57,1.67,0.64,1.56,2.47,1.39,2.2,3,3.46,3.22,3.99,2.59,0.64,3.44,2.44,1.12,2.92,1.45,3.3,3.31,2.34,0.49,4.26,1.41,1.73,2.81,3.7,0.93,2.46,2.82,0.83,3,2.46,2.03,3.56,3.23,2.57,1.05,1.5,1.71,2.97,2.65,1.21,4.2,3.02,1.69,1.79,0.17,1.11,1.5,1.48,1.77,2.07,1.86,1.42,0.64,7.92,2.48,,
May,,,,,,,1.88,,2.5,4.2,4.2,1.2,3.9,2.09,2.22,2.01,1.16,3.33,3.54,1.5,1.66,2.5,2.19,2.53,2.6,3.12,3.99,0.94,2.1,1.82,2.04,2.12,3.66,0.27,3.21,1.06,0.91,2.77,2.75,3.24,2.84,2.19,2.68,1.83,2.65,1.13,5.94,4.71,2.6,1.48,1.45,1.35,1.62,3.05,2.41,2.31,4.03,3.45,2.6,1.38,4.07,2.5,0.94,1.84,4.22,5.3,2.67,2.04,2.13,2.58,1.51,2.47,2.73,1.98,2.59,1.06,0.86,3.6,3.3,1.25,2.45,2.55,3.47,4.51,2.27,4.11,1.5,3.12,1.66,,
June,,,,,,,1.4,,1.26,2.3,2.56,3.54,3.36,2.06,1.12,2.49,3.33,2.68,3.93,5.04,1.6,2.94,4.36,4.11,-999,0,1.62,0.4,2.75,0.47,3.1,0.87,3.82,2.5,3.27,1.47,2.06,3.15,2.25,1.3,4.79,1.81,2.36,1.1,2.76,1.41,1.94,4.29,1.39,1.8,1.72,4.09,5.77,1.97,2.74,1.1,2.5,2.44,0.73,1.21,1.33,0.61,1.4,1.24,1.02,0.33,3.75,2.8,4.94,1.54,2.56,4.9,1.79,1.91,2.25,4.01,2.49,1.24,3.93,2.83,0.67,1.31,0.97,3.52,2.47,2.69,2.41,3,4.74,,
July,,,,,,,6.18,,0.64,0.6,0.6,4.55,4.79,3.66,2.85,2.61,1.37,3.24,1.09,5.14,4.39,2.28,4.28,5.47,-999,1.19,4.44,3.6,5.53,2.97,2.23,2.99,2.3,3.5,1.55,5.54,2.82,3.09,0.89,3.09,2.21,3.19,3.68,4.44,1.89,1.72,2.16,3.1,3.3,2.22,4.32,1.08,3.23,1.47,2.38,3.94,5.01,2.39,3.25,0.9,4.79,3.28,5.28,2.21,3.19,1.11,3.47,3.56,1.69,3.42,4.65,4.33,3.65,4.31,3.09,1.47,5.93,3.8,4.92,3.43,7.47,1.2,3,3.38,2.16,2.22,3.49,5.09,2.11,,
August,,,,,,,2.18,,3.05,1.36,3.2,2.1,3.61,4.84,4.85,2.78,3.81,8.1,3.82,3.79,1.03,6.24,2.6,3.61,1.34,3.39,1.23,2.07,2.24,3.76,3.3,6.86,5.06,4,5.62,2.98,0.93,5.34,2.38,0.52,5.65,2.79,2.23,3.93,3.59,3.3,4.86,2.4,2.77,1.58,5.66,2.06,6.13,1.85,2.12,2.59,5.69,8.34,2.11,2.82,3.08,6.02,2.75,6.9,2.11,3.35,3.78,6.99,5.38,5.91,4.98,3.84,1.45,1.92,4.66,3.35,1.18,2.91,1.04,1.74,0.83,5.35,2.4,5.57,1.63,2.27,6,0.4,6.86,,
September,,,,,,,4.05,,3.57,6.14,0.55,2.32,4.04,2.68,4.32,3.71,3.84,3.45,4.05,3.02,4.29,3.25,2.8,5.26,4.32,4.31,4.45,4.53,0.87,1.72,1.81,8.37,3.41,0.96,1.11,0.47,4.8,2.92,1.01,1.92,2.78,1.32,1.41,4.18,1.09,2.63,0.6,0.49,2.99,2.39,0.58,2.05,3.15,2.62,1.04,2.39,2.85,2.99,6.98,1.93,1.42,1.38,2.56,3.17,4.55,4,4.12,6.42,1.25,0.7,2.73,2,4.47,1.18,2.82,3.73,3.4,2.38,2.59,1.63,3,0.87,3.7,3.34,4.87,3.09,3.93,1.8,3.63,,
October,,,,,,,1.82,,3.2,2.3,5.95,1.62,6.58,4.7,8.95,2.91,3.07,5.69,3.37,1.25,3.96,3.39,2.87,5.88,1.51,3.83,6.08,1.44,4.64,6.63,1.81,4.19,6.05,1.76,4.25,5.96,6.42,2.98,3.69,4.24,4.49,2.55,3.05,9.28,1.11,2.05,5.91,6.45,1.7,5.14,2.08,2.42,3.41,4.25,1.47,1.22,5.94,5.02,5.86,3.51,1.8,3.24,2.66,4.92,4,3.67,3.7,4.15,6.09,2.95,5.59,2.36,5.86,3.45,6.43,6.02,2.92,3.12,6.21,3.5,3.08,4.35,3.06,3.25,3.08,3.33,0.55,0.55,2.02,,
