VENN-OTTERY,,,,,,,,,,
Grid ref,SY084914,Long,-3.29883,Lat,50.715,Elevation,200,ft,,
Station no,1802/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.4,3.69,2.93,3.41,5.05,4.35
February,,,,,2.7,0.17,5.56,4.19,0.41,4.87
March,,,,,1.79,1.6,3.68,2.07,4.93,2.94
April,,,,,1.42,0.7,0.11,0.56,3.11,3.46
May,,,,,3.93,0.96,2.25,3.17,1.35,1.92
June,,,,,3.36,1.68,1.41,3.91,1.24,0.84
July,,,,,2.93,2.8,3.38,2.29,1.8,3.33
August,,,,,0.19,3.42,2.54,3.52,2.26,3.79
September,,,,,1.31,6.59,2.55,4.11,0.16,5.53
October,,,,,1.75,1.76,1.93,2.55,2.75,12.12
November,,,,,4.86,1.3,2.14,2.93,7.07,4.87
December,,,,,4.87,6.54,3.02,5.21,7.54,3.98
Total,,,,,34.51,31.21,31.5,37.92,37.67,52
,,,,,,,,,,
1952 Formerly at Whimple Woodland Stn No 1777/2 1949-1951,,,,,,,,,,
1952-1954 data on this sheet says East Budleigh and is crossed out,,,,,,,,,,
1955 Jan 1 Gauge moved to Venn Ottery 5miles NNE,,,,,,,,,,
Note by NGR says gauge moved so using NGR from MIDAS,,,,,,,,,,
,,,,,,,,,,
SRC_ID 8138,,,,,,,,,,
1955-1968,,,,,,,,,,
