RUSHDEN (CEMETERY),,,,,,,,,,,,
Grid ref,SP965664,Long,-0.586683,Lat,52.287274,,,,,,,
Station no,1115/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.80,1.51,1.10,0.73,1.84,3.43,1.07,2.44,3.65,2.97,,
February,3.09,0.64,1.66,1.93,1.68,0.62,2.15,2.67,0.04,2.09,,
March,3.39,2.62,0.56,2.30,2.10,0.93,2.01,1.62,2.47,1.91,,
April,2.46,1.68,1.74,0.22,0.64,0.96,0.33,0.61,1.91,0.33,,
May,2.93,4.34,1.86,2.83,3.36,0.43,1.97,2.21,0.36,1.36,,
June,0.97,0.99,1.60,2.77,2.06,2.38,2.13,4.89,0.68,2.35,,
July,0.84,0.36,2.49,2.47,0.16,4.56,2.46,2.48,1.64,2.82,,
August,3.22,3.10,2.13,3.83,0.86,3.77,2.04,2.03,0.56,2.51,,
September,1.63,2.42,1.68,2.40,1.48,1.44,3.73,1.93,0.03,4.10,,
October,0.57,2.65,1.70,2.06,1.57,1.25,1.82,1.99,1.49,4.50,,
November,4.25,2.55,1.66,4.50,1.31,0.57,1.82,1.63,1.71,3.65,,
December,1.61,2.23,0.56,2.40,1.63,2.49,2.19,2.35,3.86,3.05,,
Total,27.76,25.09,18.74,28.44,18.69,22.83,23.72,26.85,18.40,31.64,,
Calc annual,27.76,25.09,18.74,28.44,18.69,22.83,23.72,26.85,18.40,31.64,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
