GLOUCESTER-WITCOMBE-COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO912159,Long,-2.129136,Lat,51.841632,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,2.46,3,,2.88,3.81,3.63,2.94,5,1.65,1.81,4.52,3.57,3.01,4.25,1.81,4.58,,
February,,,,,,,,,,,,,0.15,0.7,,3.19,2.64,1.55,1.59,2.75,2.11,1.27,3,0.95,2.63,1.77,2.26,1.45,,
March,,,,,,,,,,,,,3.44,1.1,,1.71,2.38,2.43,1.77,1.54,1.53,1.4,2.15,3.16,0.93,0.91,3.27,2.09,,
April,,,,,,,,,,,,,2.11,1.29,,1,2.5,2.16,1.58,1.19,0.61,2.79,2.59,1.16,1.54,2.95,2.74,3.39,,
May,,,,,,,,,,,,,4.19,0.91,,1.92,1.18,1.83,1.3,3.56,1.16,1.5,1.34,3.15,0.78,2.21,1.02,2.15,,
June,,,,,,,,,,,,,3.21,5.79,,1.8,2.7,1.57,0.2,1.09,0.59,3.51,3.23,2.17,0.97,3.05,1.17,0.97,,
July,,,,,,,,,,,,,1.59,0.81,,4.59,2.22,2.38,0.77,0.43,1.49,3.24,5.55,2.18,0.77,6.66,0.57,3.28,,
August,,,,,,,,,,,,,2.71,3.6,,2.78,3.18,1.64,4,0.94,1.02,4.79,2.23,2.24,2.21,1.46,2.78,4.35,,
September,,,,,,,,,,,,,3.7,2.71,,0.09,7.24,1.89,3.47,4.66,1.2,6.58,1.68,1.57,4.2,2.56,5.03,2.97,,
October,,,,,,,,,,,,,3.69,3.09,,4.86,2.09,2.24,2.25,2.49,2.82,1.69,3.99,2.26,3.05,5.81,1.59,2.15,,
November,,,,,,,,,,,,,0.8,2.3,,3.33,2.07,0.78,2.38,2.03,2.59,0.59,5.66,1.75,2.94,5.08,3.92,3.45,,
December,,,,,,,,,,,,,1.79,1.31,,1.53,1.65,1.64,4.8,4.31,2.06,2.19,2.85,0.8,1.1,1.39,7.06,1.75,,
Total,,,,,,25.6,29.51,25.42,18.9,23.09,29.47,22.29,29.84,26.61,,29.68,33.66,23.74,27.05,29.99,18.83,31.36,38.79,24.96,24.13,38.1,33.22,32.58,,
