WAST WATER (WASDALE HEAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY186089,Long,-3.257471,Lat,54.468915,Elevation,280,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3653/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.75,9.5,13,11.7,21.5,2.75,3,9.5,14,16.25,8.5,11.5,6,15.5,10,10.5,9.5,9,9.75,7.5,7.5,6,10,11.5,2.5,11
February,,,,,15.5,4.4,12.5,4.5,12.5,2.25,6.75,3.5,9,5.25,10,6.5,1.5,6.75,7.05,10.25,8.25,4,5.4,6.6,2.5,2.25,6.75,9.5,5,7
March,,,,,2.08,6.5,3.5,7.5,13.5,13.5,4.5,5.25,3.5,1.5,8,6,10.5,8,6,7.75,9.5,6.5,1.5,5.5,2.5,3.25,8.75,3.5,6,1
April,,,,,5.45,1.65,6,2.5,6.5,3.5,2.75,3.5,5.5,6,4.5,3.25,9,4.25,12.75,8.5,4,6.1,6,3,7.5,2.5,3.75,4,5,7.5
May,,,,,1,1.45,2.5,8,1,1.5,7.5,5.5,6.25,6.5,9.5,2,3.5,2.55,3.5,3.5,2.25,5.75,4,4.5,5.5,6.5,5.25,6.5,1,4.5
June,,,,,7,7.5,7,11.4,7,1.75,1.5,2,9,10.5,7,7.5,5.5,12,1.5,9,2.25,8.25,3,14,8.5,3.75,5.5,5,5.5,4
July,,,,,6.25,10.5,7.11,15.55,12.5,9.75,5,10.5,7,4,7,8.5,5.75,8.5,7.5,7.5,12.25,7,14.5,15.75,5.5,12,10,6.5,7.5,11.5
August,,,,,7.75,6.55,4.5,6.9,4.5,7,11.5,10,19,10,3.75,11,0,8.5,4.25,12.25,11.25,15,11.5,12,3.5,16.75,8.5,8,1.5,7
September,,,,,12.5,11,9,6.5,6.4,11.25,3.5,13.25,10.5,10.5,10,16.5,8,14,6,20.5,11,10,16.5,15.2,9,7,13.5,9,3,8
October,,,,,15.75,10,4.25,20.6,2.75,8.25,13,17,11,9.5,7.5,0.55,1.5,10.05,8.5,9,1.5,6.5,4.5,19.9,7,10,12.5,9,12,4.5
November,,,,,9,13.5,2.5,13,14.5,10.5,5,2.75,6.5,13.75,1,14.5,19,9,11.75,10.75,16,4.5,19.5,17.5,3.5,5.5,4,3,11,15
December,,,,,5.5,10.5,4.45,8.5,4.5,14.75,6,13,5.5,9.5,6.5,9.75,7,8.5,16.25,5.25,17.25,9,7,15.5,14.5,13.5,12.5,7.5,15,10
Total,,,,,93.53,93.05,76.31,116.65,107.15,86.75,70,95.75,106.75,103.25,83.25,97.55,77.25,107.6,95.05,114.75,105,91.6,103.15,136.95,77,89,101,83,75,91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb/Mar part estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
