"WAST WATER (WASDALE HEAD)",,,,,,,,,,,,
Grid ref,NY186089,Long,-3.257471,Lat,54.468915,,,,,,,
Station no,3653/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.50,9.00,9.75,7.50,7.50,6.00,10.00,11.50,2.50,11.00,,
February,8.25,4.00,5.40,6.60,2.50,2.25,6.75,9.50,5.00,7.00,,
March,9.50,6.50,1.50,5.50,2.50,3.25,8.75,3.50,6.00,1.00,,
April,4.00,6.10,6.00,3.00,7.50,2.50,3.75,4.00,5.00,7.50,,
May,2.25,5.75,4.00,4.50,5.50,6.50,5.25,6.50,1.00,4.50,,
June,2.25,8.25,3.00,14.00,8.50,3.75,5.50,5.00,5.50,4.00,,
July,12.25,7.00,14.50,15.75,5.50,12.00,10.00,6.50,7.50,11.50,,
August,11.25,15.00,11.50,12.00,3.50,16.75,8.50,8.00,1.50,7.00,,
September,11.00,10.00,16.50,15.20,9.00,7.00,13.50,9.00,3.00,8.00,,
October,1.50,6.50,4.50,19.90,7.00,10.00,12.50,9.00,12.00,4.50,,
November,16.00,4.50,19.50,17.50,3.50,5.50,4.00,3.00,11.00,15.00,,
December,17.25,9.00,7.00,15.50,14.50,13.50,12.50,7.50,15.00,10.00,,
Total,105.00,91.60,103.15,136.95,77.00,89.00,101.00,83.00,75.00,91.00,,
Calc annual,105.00,91.60,103.15,136.95,77.00,89.00,101.00,83.00,75.00,91.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
