WEARDALE W.W. (WASKERLEY 6),,,,,,,,,,,,
Grid ref,NZ042430,Long,-1.936222,Lat,54.781889,,,,,,,
Station no,3542,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.17,1.06,0.90,3.02,2.69,0.40,2.88,0.42,1.45,1.11,,
February,5.14,0.82,0.78,2.35,2.29,0.50,0.71,1.76,1.28,0.97,,
March,1.23,1.19,0.51,3.20,2.03,2.80,1.20,1.35,4.64,2.80,,
April,1.54,1.76,2.05,1.60,1.94,1.53,1.35,1.43,2.63,2.22,,
May,1.56,1.54,1.87,3.22,1.84,1.51,4.23,3.16,2.38,1.85,,
June,3.83,2.14,2.49,1.45,3.00,0.98,0.86,4.48,0.84,3.42,,
July,1.15,1.83,3.75,5.34,1.86,0.66,0.66,2.26,2.30,2.17,,
August,6.74,2.35,1.99,2.92,2.83,3.98,3.81,1.56,0.85,3.09,,
September,0.73,1.91,0.95,3.60,0.58,2.10,0.83,0.46,3.56,3.19,,
October,5.35,2.73,3.05,9.36,1.12,2.22,4.36,5.11,2.31,2.71,,
November,3.78,4.69,1.86,1.26,2.28,4.31,3.26,2.66,1.62,0.28,,
December,2.63,1.15,3.28,1.73,1.42,2.03,1.64,4.48,0.79,2.52,,
Total,37.85,23.17,23.48,39.05,23.88,23.02,25.79,29.13,24.65,26.33,,
Calc annual,37.85,23.17,23.48,39.05,23.88,23.02,25.79,29.13,24.65,26.33,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
