Rainfall at,WEARDALE WATER WORKS WASKERLEY 6
,
Station no,3542,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,2.36,3.97,2.28,1.22,1.97,1.83,2.17,2.24,4.38,1.06,4.05,
February,2.12,0.31,2.14,3.76,0.44,4.79,3.22,1.06,1.88,0.37,2.10,
March,3.19,1.38,1.02,1.47,1.23,2.70,0.88,2.65,2.93,0.19,2.60,
April,3.87,1.30,2.66,2.28,1.36,3.10,1.78,2.16,0.57,1.33,2.67,
May,4.00,1.96,1.01,2.11,5.72,4.51,1.37,1.55,1.81,1.26,1.42,
June,1.05,0.32,0.96,0.81,1.87,0.43,5.14,3.30,5.03,1.76,1.37,
July,3.87,1.01,5.08,2.80,3.94,1.81,3.15,3.73,1.65,2.60,6.95,
August,1.92,6.60,2.92,5.39,1.82,3.10,3.15,8.13,4.71,2.71,5.37,
September,1.30,1.07,4.11,3.00,4.31,3.36,3.18,5.11,0.94,1.21,4.76,
October,2.73,1.67,2.48,3.22,3.45,3.42,2.75,2.75,5.24,2.65,2.75,
November,1.98,2.14,0.74,3.56,2.13,2.30,4.96,2.83,4.66,3.43,3.78,
December,3.65,3.15,4.22,1.37,4.45,3.03,0.81,1.85,1.78,3.46,3.11,
Total,32.04,24.88,29.62,30.99,32.69,34.38,32.56,37.36,35.58,22.03,40.93,
Calc annual,32.04,24.88,29.62,30.99,32.69,34.38,32.56,37.36,35.58,22.03,40.93,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,
