CARNO-CAPEL,,,,,,,,,,
Grid ref,SN959969,Long,-3.5370431,Lat,52.559944,Elevation,618,ft.,,
Station no,RR2418,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2.38,6.52,,
February,,,,,,,6.23,6.04,,
March,,,,,,,6.05,3.46,,
April,,,,,,,2.96,3.02,,
May,,,,,,,0.69,5.14,,
June,,,,,,,0.85,2.68,,
July,,,,,,,1.5,4.33,,
August,,,,,,,4.74,6.69,,
September,,,,,,,6.27,2.64,,
October,,,,,,,4.53,5.26,,
November,,,,,,,4.56,6.78,,
December,,,,,,,6.13,3.82,,
Total,,,,,,,46.89,56.38,,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is post office. Altitude is from OS map.,,,,,,,,,,
