CARNO-CAPEL,,,,,,,,,,,,,,,,,,,,
Grid ref,SN957973,Long,-3.5401181,Lat,52.5635,Elevation,550,ft.,,,,,,,,,,,,
Station no,RR2418,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,-999,8.5,,3.7,3.6,7.5,6.2,5,4,,,,
February,,,,,,,,-999,10.5,,2.6,2.4,5.3,7.3,3,1,,,,
March,,,,,,,,-999,9,,2.9,2.9,3.6,4,5,1,,,,
April,,,,,,,,-999,2.5,,2.3,4.3,3.3,1.8,1,1,,,,
May,,,,,,,,-999,1.1,,2.1,1.2,3.7,3.2,3,1.25,,,,
June,,,,,,,,-999,0.6,,2,2.8,5.2,1.6,1.5,0.75,,,,
July,,,,,,,,-999,0.7,,2.4,5.5,5.3,3.1,3.5,2.3,,,,
August,,,,,,,,4,2.9,,2.1,2.9,4,4,6,1.8,,,,
September,,,,,,,,8,2.8,,3.5,5.7,5.8,4.3,4,5.6,,,,
October,,,,,,,,5,6.1,8.2,11.2,4.8,6.7,4.7,4.5,6.2,,,,
November,,,,,,,12.5,3,3.2,5.5,6.3,1.8,8.5,3.2,3.25,2.4,,,,
December,,,,,,,,6.5,10.3,7.3,3.2,2.4,8.1,4.2,5.25,3.8,,,,
Total,,,,,,,,65.8,58.2,,44.3,40.3,67,47.6,45,31.1,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Capel Peniel close to railway station. Stated altitude is 70 ft too low. Could be +/-500m,,,,,,,,,,,,,,,,,,,,
There is a comment on the 1870s record noting that the 1875 reading in 10 inches too low!,,,,,,,,,,,,,,,,,,,,
