BACUP (STAKE BROOK),,,,,,,,,,
Grid ref,SD877252,Long,-2.18773,Lat,53.72364,Elevation,1125,ft,,
Station no,2923/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.78,7.06,4.63,,3.98,7.22
February,,,,,5.28,1.85,5.19,9.61,0.85,5.65
March,,,,,2.96,1.82,5,3.32,3.07,1.97
April,,,,,2.71,3.98,0.44,1.76,4.26,3.5
May,,,,,4.55,2.13,1.96,5.5,2.04,2.41
June,,,,,4.07,4.3,2.97,5.62,3.34,1.43
July,,,,,2.15,7.47,6.5,3.54,3.47,8.72
August,,,,,1.47,11.82,7.86,6.27,0.83,5.82
September,,,,,3.71,5.22,6.91,5.31,0.39,3.38
October,,,,,3.55,3.39,7.26,5.41,5.69,6.74
November,,,,,3.54,2.3,3.45,1.94,6.09,8.91
December,,,,,7.73,6.4,5.78,5.97,9.66,5.64
Total,,,,,47.5,57.74,57.95,,43.67,61.39
,,,,,,,,,,
1958 Jan 6.72 and total estimated therefore removed,,,,,,,,,,
11982,BACUP: STAKE BROOK ,01/01/1955,Current ,SD8736424705,,,,,,
Record has NGR SD873251 which is at 1025 ft.,,,,,,,,,,
Elevation on record of 1125 ft is adjacent to Reservoir on map and therefore this is used for NGR above,,,,,,,,,,
