WATLINGTON-BRITWELL-SALOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU673935,Long,-1.028949,Lat,51.63629,Elevation,370,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1080/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.26,3.39,1.67,1.13,1.58,1.64,5.61,1.05,0.44,2.34,1.16,1.04,1.24,2.24,3.48,1.83,2.82,3.36,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.71,2.32,1.11,2.02,2.21,1.2,0.49,1.17,3.89,5.66,0.59,1.85,2.23,,0.26,2.84,0.54,0.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.62,0.63,0.3,0.77,0.97,2.91,0.68,1.63,1.08,3.85,2.05,0.55,2.42,,0.73,1.3,1.29,3.14,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.63,0.86,1.26,1.28,1.56,2.34,1.25,1.59,1.8,2.54,1.73,2.41,0.31,0.59,1.36,0.21,0.94,2.15,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.98,3.65,0.45,2.44,3.97,1.32,3.69,2.66,3.08,3.45,2.66,1.93,3.01,3.91,0.32,1.44,2.09,0.5,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.35,2.03,1.83,2.71,2.84,1.08,2.27,0.34,3.04,2.15,1.36,2.32,4.22,2.26,2.33,3.08,4.23,1.57,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.16,1.49,2.17,3.67,1.45,1.96,1.2,2.18,4.08,1.1,0.47,3.03,3.02,0.22,2.24,3.68,3.63,2.79,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.52,2.5,1.46,1.16,2.94,0.49,2.93,0.99,3.32,4.19,3.56,2.08,3.54,0.28,3.71,3.31,3.26,1.62,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.63,1.68,1.84,1.97,3.74,0.99,2.41,2.12,4.1,3.71,2.17,2.47,1.85,1.26,2.22,3.17,3.27,0.13,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.13,4.83,4.18,3.46,1.07,0.3,2.78,6.61,0.69,0.94,2.78,2.63,2.09,2.36,1.96,2.32,3.4,1.89,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
