STRATHTAY (DERCULICH),,,,,,,,,,,,
Grid ref,NN891526,Long,-3.810406,Lat,56.652015,,,,,,,
Station no,5554/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,4.00,1.30,2.94,5.33,2.22,1.55,3.86,,
February,,,,3.20,1.91,1.80,4.45,2.33,0.74,4.34,,
March,,,,2.70,0.75,4.17,3.05,1.32,2.65,2.61,,
April,,,,0.72,0.70,0.86,1.21,1.00,3.37,4.83,,
May,,,,4.57,2.19,1.22,1.63,2.48,0.99,2.82,,
June,,,,2.04,0.75,2.58,1.43,2.81,1.72,2.03,,
July,,,,2.20,0.72,4.05,4.62,3.88,3.71,2.46,,
August,,,,4.00,1.22,5.01,4.28,5.24,1.33,3.05,,
September,,,,3.79,1.59,5.57,1.61,4.58,0.99,2.81,,
October,,,,6.90,2.81,2.27,2.22,2.71,4.73,5.06,,
November,,,,7.12,1.98,1.92,0.86,1.26,4.89,4.66,,
December,,,,5.17,8.22,6.08,5.34,4.43,9.61,3.86,,
Total,,,,46.41,24.14,38.47,36.03,34.26,36.28,42.39,,
Calc annual,0.00,0.00,0.00,46.41,24.14,38.47,36.03,34.26,36.28,42.39,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
