"PENTLAND SKERRIES",,,,,,,,,,,,
Grid ref,ND465785,Long,-2.924660,Lat,58.690950,,,,,,,
Station no,5818,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.38,2.16,2.82,2.95,1.62,2.75,1.88,4.40,1.48,2.26,,
February,3.50,2.08,0.71,3.33,3.16,1.80,4.08,1.51,1.20,1.59,,
March,1.20,1.43,1.52,1.08,1.03,2.91,1.98,1.43,2.28,1.32,,
April,1.68,1.89,1.50,2.77,3.68,1.67,1.71,1.23,1.21,1.56,,
May,1.74,1.19,1.61,0.93,1.54,1.44,2.20,1.08,1.62,1.47,,
June,0.53,2.02,1.26,0.63,1.25,1.10,0.26,3.18,1.57,1.20,,
July,3.38,1.03,1.57,3.82,0.97,1.50,1.53,2.26,0.71,1.40,,
August,2.03,3.08,1.75,3.79,2.05,4.02,1.27,1.32,0.30,2.50,,
September,3.70,0.74,1.87,2.31,2.33,1.81,2.05,0.53,3.42,1.62,,
October,3.79,3.39,1.20,4.10,2.46,5.45,1.27,0.67,0.93,3.29,,
November,3.59,2.40,1.09,3.47,3.16,2.98,3.55,1.86,3.43,6.20,,
December,3.75,4.80,3.14,1.80,2.53,1.35,2.73,0.46,2.21,2.89,,
Total,31.27,26.21,20.04,30.98,25.78,28.78,24.51,19.93,20.36,27.30,,
Calc annual,31.27,26.21,20.04,30.98,25.78,28.78,24.51,19.93,20.36,27.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
