Rainfall at,PENTLAND SKERRIES LIGHTHOUSE
,
Station no,5818,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.82,4.85,2.64,4.85,2.99,2.34,3.75,3.79,3.62,3.41,
February,3.75,1.10,3.62,3.14,2.21,4.15,1.00,2.44,2.44,2.36,
March,2.37,1.15,1.04,3.06,1.48,1.87,1.67,1.68,3.71,4.27,
April,1.83,0.46,2.22,1.97,2.07,2.17,2.68,1.87,2.26,3.38,
May,1.18,1.63,1.50,1.66,2.22,1.23,0.85,1.50,1.60,0.68,
June,0.17,1.07,1.06,2.28,3.30,1.67,1.79,1.16,1.25,2.26,
July,1.92,2.01,0.39,1.82,2.29,4.26,0.96,1.67,0.82,2.37,
August,4.44,2.45,2.27,1.07,1.12,1.96,0.28,3.87,3.29,2.36,
September,1.36,3.23,3.55,2.40,3.27,3.20,5.56,2.93,1.50,6.11,
October,3.68,5.11,2.77,5.12,3.98,1.11,2.26,5.04,1.60,1.63,
November,3.13,2.05,3.01,3.81,2.20,4.73,5.05,1.67,2.70,2.84,
December,2.55,3.78,3.18,3.36,6.33,3.45,4.47,4.15,4.50,2.41,
Total,28.20,28.89,27.25,34.54,33.46,32.14,30.32,31.77,29.29,34.08,
Calc annual,28.20,28.89,27.25,34.54,33.46,32.14,30.32,31.77,29.29,34.08,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
