CALNE-COMPTON-BASSETT-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU031718,Long,-1.9567845,Lat,51.445182,Elevation,350,ft,,,,,,,,,,,,
Station no,1493/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.11,2.39,2.98,3.45,5.2,1.6,1.93,2.13,1.99,5.98,1.13,
February,,,,,,,,,1.49,2.73,2.9,0.46,1.07,0.7,2.62,2.75,1.09,1.39,1.55,
March,,,,,,,,,1.47,2.24,3.54,2.05,0.83,0.31,1.55,1.03,,1.23,1.26,
April,,,,,,,,,3.16,2.17,1.51,1.52,0.68,1.46,1.04,2.34,2.29,1.95,1.66,
May,,,,,,,,,1.35,1.36,1.69,4.98,2.85,1.27,2.08,4.23,1.9,4.87,3.08,
June,,,,,,,,,2.06,1.29,1.1,0.43,1.74,2.13,3.91,2.9,1.37,2.54,0.33,
July,,,,,,,,,3.92,2.82,2.03,1.9,1.62,2.3,1.3,1.25,1.78,0.72,1.61,
August,,,,,,,,,2.07,0.05,4.27,4.55,3.59,2.92,1.83,4.2,0.61,2.85,1.22,
September,,,,,,,,,0.81,1.01,0.83,1.6,1.36,2.52,2.39,3.64,1.37,2.43,0.92,
October,,,,,,,,,4.34,3.44,1.67,4.15,3.76,4.46,3.63,1.06,0.56,4.31,6.85,
November,,,,,,,,,5.3,8.32,2.27,1.9,1.81,4.97,0.46,5.05,2.05,1.53,3.02,
December,,,,,,,,,2.02,1.58,1.66,3.87,,1.81,3.72,2.5,2.64,4.43,1.59,
Total,,,,,,,,,33.1,29.4,26.45,30.86,,26.45,26.46,33.08,,34.23,24.22,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1943 Dec estimated,,,,,,,,,,,,,,,,,,,,
1947 Mar estimated,,,,,,,,,,,,,,,,,,,,
