BALLATER,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 36593 95568,Long,-3.046701,Lat,57.046803,Elevation,656,ft,,,,,,,,,,,,
Station no,5631/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,3.59,4.7,0.96,4.84,2.98,5.88,4.09,4.93,1.35,1.74,5.86,,,,,,,
February,,,1.62,0.51,3.12,3.61,3.02,1.3,2.26,1.82,6.32,2.39,3.74,,,,,,,
March,,,4.16,1.58,2.98,2.45,7.34,5.54,2.95,1.78,0.88,1,,,,,,,,
April,,,0.77,1.97,1.18,0.27,2.06,3.44,4.19,2.56,0.77,3.24,,,,,,,,
May,,,2.3,1.08,1.94,3.55,2.3,2.54,1.36,0.96,1.72,0.95,,,,,,,,
June,,,4.73,1.97,1.62,0.25,1.96,1.37,0.61,2.48,1.2,1.48,,,,,,,,
July,,,1.63,0.68,1.78,3.33,2.58,4.89,0.6,0.59,1.55,3.13,,,,,,,,
August,,,3.58,4.84,1.02,3.32,2.84,2.85,5.88,1.68,1.88,1.98,,,,,,,,
September,,,1.8,3.01,3.52,0.34,2.83,1.94,6.3,3.43,2.36,3.46,,,,,,,,
October,,1.89,2.84,3.65,6.82,6.88,2.07,2.83,1.8,5.65,4.75,5.22,,,,,,,,
November,,5.62,0.65,1.47,7.38,3.53,1.95,0.82,2.19,1.61,2.94,1.22,,,,,,,,
December,,1.84,3.72,3.1,3.21,5.54,2.88,2.21,6.1,2.78,5.02,0.78,,,,,,,,
Total,,,31.39,28.56,35.53,37.91,34.81,35.61,38.33,30.27,30.74,26.59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location approx,,,,,,,,,,,,,,,,,,,,
Station no,5631/5,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
