"MORECAMBE",,,,,,,,,,,,
Grid ref,SD430644,Long,-2.872560,Lat,54.072361,,,,,,,
Station no,3034,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.30,1.77,2.01,3.86,5.33,2.17,4.95,2.72,4.94,3.04,,
February,3.09,1.35,1.02,3.42,4.06,1.91,2.87,2.42,2.72,3.49,,
March,0.49,3.21,2.41,4.54,2.99,2.72,3.34,4.84,3.27,3.40,,
April,2.20,1.62,1.39,1.76,3.50,3.28,1.53,2.28,2.65,3.51,,
May,2.34,0.82,2.70,3.19,-999.00,1.36,5.30,5.47,3.95,1.99,,
June,2.57,1.48,0.79,1.88,1.33,2.36,2.42,8.09,2.59,1.98,,
July,2.22,1.83,3.19,3.53,1.37,1.49,2.11,4.24,3.71,6.81,,
August,4.80,2.87,2.90,5.89,2.59,5.27,4.49,4.04,5.73,3.66,,
September,2.01,0.94,1.15,6.83,2.22,3.33,1.09,0.88,5.17,3.02,,
October,7.05,3.83,4.32,9.12,3.22,3.23,6.98,5.77,2.31,7.75,,
November,3.63,4.15,2.82,3.97,3.14,4.08,4.36,4.67,5.82,2.11,,
December,5.08,4.17,3.45,3.85,3.77,1.29,4.09,5.89,4.46,10.70,,
Total,39.78,28.04,28.15,51.84,36.45,32.49,43.53,51.31,47.32,51.46,,
Calc annual,39.78,28.04,28.15,51.84,33.52,32.49,43.53,51.31,47.32,51.46,,
Difference,0.00,0.00,0.00,0.00,2.93,0.00,0.00,0.00,-0.00,0.00,,
