THE DHOON,,,,,,,,,,,,,,,,,,,,
Grid ref,SC455865,Long,-4.3729162,Lat,54.250787,Elevation,450,ft,,,,,,,,,,,,
Station no,RR7421,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,5.98,6.08,3.12,2.76,7.02,3.16,3.97,2.82,,,,,,
February,,,,,,,2.72,1.72,1.15,4.15,1.85,0.29,1.63,8.84,,,,,,
March,,,,,,,5.37,1.24,2.72,3.08,4.34,2.15,1.44,2.04,,,,,,
April,,,,,,,3.34,1.68,2.77,3.14,2.7,2.87,1.87,1.38,,,,,,
May,,,,,,,6.96,1.05,3.17,3.49,3.53,2.09,5.2,2.05,,,,,,
June,,,,,,,2.27,0.38,2.93,0.45,4.16,2.81,5.21,1.94,,,,,,
July,,,,,,,5.62,3.92,8.66,2.64,4.08,2.13,1.65,3.51,,,,,,
August,,,,,,,2.67,1.83,3.67,6.88,4.74,10.29,9.26,4.35,,,,,,
September,,,,,,,5.99,4.36,1.4,3.71,3.95,7.01,4.41,3.56,,,,,,
October,,,,,,,4.54,3.32,5.47,5.39,3.26,8.28,8.96,4.53,,,,,,
November,,,,,,,5.22,3.77,6.17,4.72,14.45,7.17,6.29,2.95,,,,,,
December,,,,,,,11.46,5.05,8.12,5.11,2.49,8,5.44,8.49,,,,,,
Total,,,,,,,62.14,34.4,49.35,45.52,56.57,56.25,55.33,46.46,,,,,,
