"STRATH BRAN (GLENQUAICH LODGE)",,,,,,,,,,,,
Grid ref,NN864373,Long,-3.847701,Lat,56.513986,,,,,,,
Station no,5552,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.58,4.38,0.91,4.27,3.54,3.37,6.91,5.70,2.19,5.73,,
February,4.17,0.75,1.11,5.04,2.69,1.67,6.27,2.74,1.16,7.41,,
March,2.50,4.49,1.31,4.32,1.69,4.30,5.10,2.76,5.17,3.72,,
April,3.82,3.02,2.54,1.31,1.62,1.24,2.00,1.39,4.74,7.35,,
May,2.25,3.07,3.18,6.81,3.12,2.44,2.71,4.24,1.28,4.02,,
June,2.41,3.01,2.15,2.63,1.54,4.13,1.55,5.07,2.31,2.86,,
July,2.67,2.10,4.21,2.26,1.44,4.64,4.85,5.64,4.83,3.67,,
August,7.19,4.87,2.06,4.93,1.62,6.31,6.47,6.82,1.87,5.10,,
September,4.92,2.29,6.15,5.89,2.40,7.47,3.35,7.00,0.83,4.77,,
October,1.74,6.63,3.57,9.48,3.70,3.60,3.11,3.74,5.95,9.17,,
November,13.92,2.49,6.83,12.33,3.51,1.91,2.46,1.26,9.91,8.61,,
December,7.59,3.58,6.09,7.26,9.24,6.90,7.06,9.08,12.12,6.72,,
Total,57.76,40.68,40.11,66.53,36.11,47.98,51.84,55.44,52.36,69.13,,
Calc annual,57.76,40.68,40.11,66.53,36.11,47.98,51.84,55.44,52.36,69.13,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
