"LEYBURN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR255,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.30,1.50,3.34,4.60,6.02,2.34,3.79,3.29,1.59,0.93,,
February,3.79,4.85,2.95,3.89,2.44,2.80,1.11,1.46,2.79,1.84,,
March,1.11,2.87,2.66,3.19,2.93,2.14,4.00,1.99,5.68,3.49,,
April,2.63,1.47,4.53,2.90,3.14,1.99,2.89,1.17,2.48,4.64,,
May,1.85,1.60,1.73,1.59,0.44,3.47,5.50,1.85,1.46,2.23,,
June,2.25,2.26,4.38,2.05,0.54,2.17,1.13,0.24,3.06,0.16,,
July,5.64,4.25,3.51,3.81,5.54,0.67,4.45,1.71,4.92,3.13,,
August,3.13,6.50,1.88,1.12,1.41,1.92,2.07,2.40,2.30,4.87,,
September,4.92,3.48,2.66,4.71,1.94,3.16,2.27,4.47,1.06,0.91,,
October,6.41,4.84,4.13,3.90,2.01,6.36,5.78,2.46,1.37,5.78,,
November,3.69,5.21,4.54,2.79,1.98,2.86,3.33,4.01,8.21,1.13,,
December,4.34,3.90,4.49,2.12,4.89,1.26,4.66,2.82,2.03,1.37,,
Total,40.06,42.73,40.80,36.67,33.28,31.14,40.98,27.87,36.95,30.48,,
Calc annual,40.06,42.73,40.80,36.67,33.28,31.14,40.98,27.87,36.95,30.48,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
