STOKE PRIOR,,,,,,,,,,
Grid ref,SO533557,Long,-2.68467,Lat,52.197544,Elevation,375,ft,,
Station no,2242/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.35,1.32,1.84,3.56,5.32
February,,,,,,0.62,2.48,4.22,0.21,3.48
March,,,,,,0.84,1.68,1.23,2.03,1.98
April,,,,,,2.34,0.06,0.28,3.04,1.89
May,,,,,,0.85,1.47,2.05,0.66,1.45
June,,,,,,1.76,1.92,3.7,2.4,1.73
July,,,,,,3.99,2.23,3.42,1.74,2.25
August,,,,,,3.95,3.82,2.21,0.9,4.65
September,,,,,,3.13,4.47,7.3,0.15,4.07
October,,,,,,1.57,1.01,2.69,2.49,6.99
November,,,,,3.1,0.71,2.06,2.39,3.89,4.87
December,,,,,2.58,2.5,2.34,2.82,5.93,3.41
Total,,,,,,25.61,24.86,34.15,27,42.09
,,,,,,,,,,
"CEDA 10624, STOKE PRIOR, 1955-1967",,,,,,,,,,
