BALTHAYOCK,,,,,,,,,,
Grid ref,NO 17519 22954,Long,-3.337642,Lat,56.391626,Elevation,346,ft,,
Station no,5571,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,4,1.4,1.4,4,3.1,4,4
February,,,,1.1,5,2.5,2.2,1.7,1.6,1.8
March,,,,1.3,2.4,0.8,4.6,2.1,2,0.7
April,,,,1.3,1.5,1.1,1.1,3.2,4.2,1.2
May,,,,1.4,1.6,2.7,0.8,4,2.3,1.7
June,,,,3.6,3.2,0.4,1.8,1.9,0.7,2.3
July,,,,0.3,2.8,6.1,4.5,9.2,0.9,1.7
August,,,,6.6,1.2,4.7,4.8,3,5.9,1.1
September,,,,4,3.9,1.1,4.3,0.8,4,5.2
October,,,,3.1,6.2,5.8,2.6,2.3,1.5,3.7
November,,,,2.3,3.3,4.1,2,0.5,2.3,1.2
December,,,,2,3.3,2.4,3.1,1.1,5.4,3.5
Total,,,,31,35.8,33.1,35.8,32.9,34.8,
,,,,,,,,,,
Station no,5571,,,,,,,,,
Midas,,,,,,,,,,
Hyd stn,,,,,,,,,,
