KINFAUNS BALTHAYCOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 17519 22954,Long,-3.337642,Lat,56.391626,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,0.1,2.55,2.44,3.38,2.67,4.85,1.9,2.97,3.55,5.51,3.04,5.18,1.1,2.04,3.42,2.56,2.3,2.5,0.89,4.35,3.52,5.01,3.26,0.86
February,,,,,,,,0.65,1.74,1.03,3.58,0.39,3.1,5.16,1.09,3.39,5.64,1.59,1.99,1.58,1.72,1.29,0.1,3.13,0.22,1.61,3.59,3.79,0.59,2.37,1.71
March,,,,,,,,2.15,1.03,2.2,3.05,2.82,1.82,1.09,1.08,1.88,1.72,2.01,3.77,0.32,2.1,0.8,2.53,1.37,3.91,1.35,2.09,3.75,0.55,2.28,
April,,,,,,,,1.6,0.64,2.71,2.79,1.06,2.44,3.55,1.59,3.72,2.72,0.86,0.79,1.12,1.69,2.37,2.72,0.94,3.95,4.32,0.63,1.82,0.08,1.34,
May,,,,,,,,2.87,3.09,1.47,3.77,1.54,1.12,0.9,6.45,4.54,2.58,1.87,1.83,2.33,1.12,3.18,3.16,1.59,1.89,0.83,0.8,2.4,3.75,1.94,
June,,,,,,,,2.28,0.45,1.02,1.09,0.38,2.32,0.71,2.7,0.38,3.89,3.08,4.14,1.57,2.03,4.68,1.21,1.23,1.76,3.09,1.24,1.46,3.07,1.56,
July,,,,,,,,1.41,5.39,0.55,2.45,3.27,3.59,1.85,5.31,3.14,3.82,3.82,0.82,3.87,2.85,5.37,4.09,3.03,3.4,1.46,5.47,3.12,4.16,3.86,
August,,,,,,,,4.27,2.37,0.74,3.83,5.48,1.66,6.21,3.55,2.86,2.82,4.19,4.45,3.62,6.34,1.86,0.88,0.76,4.18,3.02,1.55,4.35,2.15,1.73,
September,,,,,,,,1.14,4.46,1.07,1.94,1.7,2.01,3.4,4.57,3.85,4.04,4.4,2.76,0.55,5.9,1.35,1.78,1.91,3.04,4.25,3.46,1.04,3.29,2.07,
October,,,,,,,,2.46,3.45,1.19,2.19,3.9,2.07,2.99,4.43,3.36,5.28,5.13,3.45,3.44,3.07,0.99,6.58,3.67,3.55,4.34,1.91,3.79,5.14,5.2,
November,,,,,,,,2.9,1.73,,2.87,2.17,1.7,2.25,1.98,1.15,6.64,1.96,2.6,3.53,3.8,5.23,1.38,2.42,0.56,4.52,2.07,0.43,4.1,4.23,
December,,,,,,,,1.08,0.91,3.7,3.37,2.73,2.39,3.12,5.54,3.13,0.34,1.68,3.02,3.71,3.26,1.19,4.79,1.04,3.98,2.08,3.26,2.28,2.42,1.44,
Total,,,,,,,,22.91,27.81,,34.31,28.11,29.07,33.13,41.26,34.95,45,33.63,34.8,26.74,35.92,31.73,31.78,23.39,32.94,31.76,30.42,31.75,34.31,31.28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Nov Estd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
