"HASTINGS GUESTLING RECTORY",,,,,,,,,,,,
Grid ref,TQ8578613989,Long,0.640483,Lat,50.895495,,,,,,,
Station no,RR4892,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.91,0.68,1.23,3.20,4.31,1.23,4.52,0.93,1.37,1.19,,
February,6.05,2.00,1.59,1.77,3.10,0.62,2.91,1.51,1.06,0.54,,
March,1.07,2.30,1.39,2.12,1.36,4.74,1.63,0.69,2.41,4.39,,
April,1.27,2.10,0.71,2.24,0.99,1.97,1.16,2.99,2.20,2.28,,
May,1.00,1.05,1.80,1.97,2.09,1.11,2.72,2.59,1.16,1.18,,
June,2.74,1.41,2.14,2.59,1.22,3.79,0.79,2.49,1.16,2.65,,
July,0.89,2.41,0.83,5.38,1.17,0.88,0.24,3.57,2.70,2.49,,
August,2.22,2.07,4.26,2.93,1.60,2.74,0.78,1.27,4.87,3.27,,
September,1.08,0.83,1.66,2.27,1.24,3.51,1.22,0.80,2.16,2.63,,
October,3.44,2.57,2.37,5.05,2.05,2.47,4.43,5.62,1.27,5.97,,
November,3.42,0.52,2.47,2.46,1.73,5.20,6.26,2.10,1.00,0.93,,
December,4.36,4.67,2.73,2.13,3.14,1.25,2.08,2.50,2.88,5.81,,
Total,31.45,22.61,23.18,34.11,24.00,29.51,28.74,27.06,24.24,33.33,,
Calc annual,31.45,22.61,23.18,34.11,24.00,29.51,28.74,27.06,24.24,33.33,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
