CLUN-BETTWS-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO197846,Long,-3.1830826,Lat,52.453429,Elevation,1065,ft.,,,,,,,,,,,,
Station no,RR6416,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.66,1.24,1.3,5.79,3.7,2.45,2.38,3.5,4.6,1.1,,,
February,,,,,,,,0.8,1.2,2.23,1.25,0.13,1.9,5.2,2.76,0.02,0.89,,,
March,,,,,,,,2.04,3.33,3.33,2.15,2.75,1.18,0.55,3.04,4.46,,,,
April,,,,,,,,1.68,2.64,7.1,1.16,2,1.12,0.48,2.22,2.82,1.03,,,
May,,,,,,,,2.51,1.14,3.47,3.04,3.15,3.04,2.33,3.94,0.2,0.6,,,
June,,,,,,,,1.42,3.2,0.33,1.99,4,1.88,1.94,1.91,1.2,2,,,
July,,,,,,,,1.74,5.72,4.76,2.2,2.41,2.03,3.1,3.22,2.53,2.7,,,
August,,,,,,,,3.22,4.6,4.2,3.8,2.9,3.41,2.36,1.83,2.45,2.06,,,
September,,,,,,,,3.58,0.55,1.66,1.56,3.67,3.07,1.3,1.82,1,3.2,,,
October,,,,,,,,2.85,2.19,6.52,2.5,6.84,3.57,4,5.23,3.5,3.51,,,
November,,,,,,,,3.55,7.88,2.23,5.78,4,3.1,1.86,4,2.55,,,,
December,,,,,,,,3.84,4.18,2.48,1.16,7.88,1.46,5,4.64,2.93,,,,
Total,,,,,,,,29.89,37.87,39.61,32.38,43.43,28.21,30.5,38.11,28.26,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is a school with the correct relationship to the church.,,,,,,,,,,,,,,,,,,,,
"Stated altitude of 1150 ft. is high, OS value used here.",,,,,,,,,,,,,,,,,,,,
No other Shropshire location within 9km covering the same period.,,,,,,,,,,,,,,,,,,,,
