ALMOND INTAKE,,,,,,,,,,
Grid ref,NN 75871 33356,Long,-4.016807,Lat,56.475913,Elevation,1230,ft,,
Station no,5547/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.87
February,,,,,,,,,,7.57
March,,,,,,,,,,3.86
April,,,,,,,,,5.43,9.02
May,,,,,,,,,1.5,4.9
June,,,,,,,,,2.42,3.09
July,,,,,,,,,5.44,4.24
August,,,,,,,,,3.03,5.05
September,,,,,,,,,0.98,4.7
October,,,,,,,,,6.88,12.03
November,,,,,,,,,11.19,8.62
December,,,,,,,,,13.34,7.64
Total,,,,,,,,,,75.59
,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5547/5,,,,,,,,,
Midas,15276,,,,,,,,,
Hyd Stn,878230,,,,,,,,,
