"WATENDLATH, CUMBERLAND 8"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY275163,Long,-3.1206,Lat,54.537,Elevation,867,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,10,14.1,12,7.75,6.5,16.5,19.75,11.25,13.75,5.75,15,9.25,1,2.75,0.5,7,13,14.75,8,10.25,6.75,4.75,5.5
February,,,,,,,,8,10.75,16.5,7.3,7.75,11.5,1.25,9,2,8.5,8.5,5.75,3.75,11,6.5,10,10.5,12.75,14.5,0.75,6.5,2.25,5
March,,,,,,,,5.25,13,1,3.7,5.25,6.75,4,7.25,3,7.25,3.75,3.25,5.75,2.5,7.5,7,4.5,6,7.25,6.75,3.5,7.25,
April,,,,,,,,11,5.8,4,3.13,3,3,1,3.25,2,3.75,3,2.5,2.5,5,6.25,7.5,2.5,1.5,6,4.25,4.75,5.5,
May,,,,,,,,3.75,3.75,1.7,9.75,1.75,5.25,2.25,1.5,4,5.75,4.5,7,1.75,4,7,4,5,10,3.25,8,3.25,5.75,
June,,,,,,,,2.45,1.75,2.6,2,2,7.25,4.25,1.75,6.25,1.5,6.25,3.25,6,4.5,9,7,7,0.5,2.5,2.25,1,1.75,
July,,,,,,,,7.4,0.89,4.5,0.7,6.75,4.75,9.75,3.5,4,3.25,9.5,1.5,7.5,3.75,6.75,10,6,9,4.5,7,5.75,8.5,
August,,,,,,,,6.5,10.25,2.5,4,7.5,6.5,9.5,11.5,5.25,6,9.25,6,8.5,3.5,10,5.5,-999,4.25,4.75,7.5,4.5,7,
September,,,,,,,12,6.88,3.7,17.25,8.25,4.25,13.5,6.25,11,8,5.75,5.3,10.25,9.25,6,4,5,-999,5.25,11.25,14.5,9.5,1.75,
October,,,,,,,6.5,9.75,12,5.25,16.5,7.25,13,11.5,12.75,7.25,5.25,15,12,4,2.5,5,4,11,5.5,9,10.5,4.5,12,
November,,,,,,,11.25,1,5.5,11.7,5.25,2.75,11.5,6.5,6.25,6.5,4,18.5,3.5,1.75,14.5,12,12,15,4.75,5,8.5,6.5,20,
December,,,,,,,15.25,5.63,17.75,12,4.25,12.25,10,6.25,4,9,13,10.5,3.75,7.5,9,9,8,10,10.75,4.75,9.5,7.75,8.5,
Total,,,,,,,,77.61,99.24,91,72.58,67,109.5,82.25,83,71,69.75,109.05,68,59.25,69,83.5,87,99.5,85,80.75,89.75,64.25,85,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1883 Aug-Sep bracketed, =15.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
