"WATENDLATH 5"" GAUGE",,,,,,,,,,
Grid ref,NY275163,Long,-3.1206,Lat,54.537,Elevation,867,ft,,
Station no,RR2086,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,6.7,4.8,5.5
February,,,,,,,,5.5,2.2,5
March,,,,,,,,2.9,7.2,
April,,,,,,,,5.2,5.5,
May,,,,,,,,2.6,5.8,
June,,,,,,,,0.3,1.5,
July,,,,,,,,4.2,8.6,
August,,,,,,,,4.4,7,
September,,,,,,,,10.6,1.8,
October,,,,,,,,7.9,12,
November,,,,,,,,6.4,20,
December,,,,,,,,7.6,8.5,
Total,,,,,,,,64.3,84.9,
