MUNDESLEY-RAXAWA-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG315363,Long,1.438576,Lat,52.874326,Elevation,60,ft,,,,,,,,,,,,,
Station no,RR8018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,1.56,,,2.24,1.85,1.85,4.15,1.83,,,,,,,
February,,,,,,,3.69,,,1.9,0.55,0.6,2.35,2.63,,,,,,,
March,,,,,,,2.59,,,2.46,0.93,0.75,1.5,1.56,,,,,,,
April,,,,,,,1.87,,,1.45,2.85,1.25,2,0.9,,,,,,,
May,,,,,,,1.68,,,1.04,0.6,1.47,0.46,1.38,,,,,,,
June,,,,,,,3.49,,,0.83,1.46,0.05,1.75,0.25,,,,,,,
July,,,,,,,1,,,2.85,2.8,0.5,5.89,3.3,,,,,,,
August,,,,,,,2.2,,,1.88,2.15,1.09,1.5,2.08,,,,,,,
September,,,,,,,1.98,,,1.57,2.88,0.78,2.65,1.7,,,,,,,
October,,,,,,,1.9,,,2.75,1.23,2.1,1.17,2.84,,,,,,,
November,,,,,,,2.55,,,2.1,1.02,1.41,1.7,4.33,,,,,,,
December,,,,,,,3.44,,,3.55,2.78,2.9,2.1,3.25,,,,,,,
Total,,,32.57,20.71,27.04,27.15,27.95,,,24.62,21.1,14.75,27.22,26.05,,,,,,,
