"MUNDESLEY, RAGAIRO HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8018,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,1.85,1.85,4.15,1.83,,,,,,,,
February,0.55,0.60,2.35,2.63,,,,,,,,
March,0.93,0.75,1.50,1.56,,,,,,,,
April,2.85,1.25,2.00,0.90,,,,,,,,
May,0.60,1.47,0.46,1.38,,,,,,,,
June,1.46,0.05,1.75,0.25,,,,,,,,
July,2.80,0.50,5.89,3.30,,,,,,,,
August,2.15,1.09,1.50,2.08,,,,,,,,
September,2.88,0.78,2.65,1.70,,,,,,,,
October,1.23,2.10,1.17,2.84,,,,,,,,
November,1.02,1.41,1.70,4.33,,,,,,,,
December,2.78,2.90,2.10,3.25,,,,,,,,
Total,21.10,14.75,27.22,26.05,,,,,,,,
Calc annual,21.10,14.75,27.22,26.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
