TOOT-BALDON-POTLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP564002,Long,-1.18535,Lat,51.697722,Elevation,289,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.78,0.73,2.37,1.44,0.69,1.92,1.89,2.44,0.72,2.4,0.66,2.57,2.69,1.21,0.73,2.6,2.83,0.71,3.49,0.77,1.59,0.8,1.52,0.83,4.58,2.84,0.52,2.68,1.47,1.51,2.42,2.49,2.04,2.59,2.44,1.34,2.81,1.47,2.7,2.45,2.58,1.05,2.25,1.13,1.61,1.93,1.86,0.58,3.46,3.4,2.13,4.43,2.03,2.78,2.52,3.26,1.41,1.55,1.1,1.22,5.13,0.73,0.43,2.79,1.35,0.62,1.18,2.44,3.76,1.8,3.41,3.59,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.58,1.9,0.68,0.02,0.96,2.81,2.02,0.11,0.38,1.99,1.56,2.21,3.15,1.08,0.96,1.14,2.85,0.41,1.25,0.88,0.97,0.41,3.1,1.68,1.97,0.85,1.67,3.66,5.03,1.25,0.84,2.29,0.54,0.32,2.35,3.08,0.26,2.97,2.16,3.69,1.61,0.64,0.32,1.64,0.12,3.99,0.2,1.97,1.58,4.2,0.56,0.7,1.69,1.91,0.48,0.8,0.88,1.72,1.76,1.2,0.54,0.89,3.49,3.73,0.53,1.4,2.23,1.25,0.18,3.22,2.67,0.02,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.61,1.7,0.88,1.75,0.69,0.22,1.47,1.6,2.51,2.81,1.07,0.25,0.72,1.93,1.55,2.65,1.17,3.1,1.52,1.07,2.61,2.47,0.67,1.81,3.17,2.12,3.42,1.33,5.04,1.32,0.68,3.69,1.46,0.88,1.66,2.49,0.49,0.5,0.71,2.15,1.54,0.05,0.71,0.1,1.46,2.43,1.54,0.56,2.02,3.16,0.34,1.36,2.06,2.22,1.85,0.88,0.18,0.75,0.95,4.79,0.58,1.67,0.59,3.66,2.55,0.5,1.82,1.13,0.74,1.97,1.5,2.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.75,2.54,1.25,1.37,0.75,0.07,1.61,1.72,0.65,1.68,1.49,2.41,0.66,2.37,1.23,2.08,0.91,1.95,0.51,2.14,4.4,1.73,2.15,1.03,0.21,2.15,0.79,0.83,0.75,1.39,3.43,2.49,2.9,1.03,2.69,1.89,2.07,2.57,2.39,1.86,0.93,1.01,2.32,2.93,2.03,1.26,1.68,3.18,1.58,3.45,0.03,3.16,1.92,1.11,0.95,0.55,1.55,1.27,1.22,1.31,2.09,1.63,1.68,2.46,1.22,2.41,0.68,0.84,1.38,0.37,1.65,2.16,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.3,2.98,1.75,2.7,1.32,0.75,2.67,0.36,0.23,1.24,2.44,1.68,1.18,1.59,1.77,3.36,3.21,1.06,2.05,2.45,1.11,2.12,2.11,2.44,1.86,2.77,1.3,3.74,1.87,1.85,1.61,0.41,1.47,1.1,0.96,1.35,4.68,2.74,2.41,1.06,0.7,0.76,2.38,2.79,4.94,1.56,0.61,1.47,0.54,2.65,1.99,1.26,1.6,1.46,2.66,1.85,0.43,2.6,3,1.85,3.85,1.66,2.37,2.92,2.2,1.3,1.98,4.42,0.2,1.79,1.25,1.03,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.64,1.06,1.97,1.1,1.79,0.7,3.07,0.57,2.54,2.85,1.78,1.74,1.8,1.38,2.25,4.61,0.97,4.05,3.78,3.49,1.33,3.85,2.96,1.22,3.11,0.62,1.9,1,2.45,3.19,0.82,1.04,3.55,0.38,1.17,0.45,2.57,0.07,2.25,2.8,1.49,0.99,0.45,2.68,0.64,1.3,1.12,4.72,2.92,1.78,0.74,1.79,0.72,1.96,0.23,2.05,2.21,2.56,1.86,1.14,2.39,0.62,1.61,2.56,1.26,1.61,4.5,2.61,2.4,2.57,4.23,1.84,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,5.3,2.61,3.37,2.3,2.76,3.79,3.13,3.29,0.87,0.79,0.5,1.09,1.37,2.71,0.81,2.82,2.33,0.66,0.92,2.41,2.13,2.44,2.25,0.47,3.04,1.16,2.83,3.36,1.65,3.72,3.5,2.37,5.45,0.27,4.2,1.38,3.38,3.69,2.1,2.68,2.3,0.91,2.46,4.03,2.66,2.33,1.4,0.68,4.07,1.33,1.59,5.79,3.19,4.64,2.06,1.06,1.89,2.42,1.04,1.6,0.82,1.54,4.03,1.18,0.39,3.01,1.19,0,3.74,3.8,2.65,2.12,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.02,3.47,3.22,5.08,2.91,1.57,2.81,3.03,3.56,3.65,1.34,2.34,2.97,2.53,2.86,3.62,1.84,3.01,1.49,1.45,3.12,3.3,2.52,1.25,5.22,1.05,1.67,1.52,4.33,3.55,1.29,2.69,1.04,1.34,5.29,2.65,2.21,2.89,1.3,3.68,2.43,1.19,1.95,4.12,1.77,0.7,2.08,2.04,0.96,0.28,3.52,1.75,0,3.79,2.99,1.72,1.86,1.43,3.13,0.72,2.68,1.07,2.96,4.68,3.31,2.18,4.22,0.38,4.66,3.91,4.2,1.09,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.44,1.37,1,1.85,2.76,0.95,2.13,0.81,2.9,3.08,0.56,1.92,0.36,2.33,1.51,2.2,1.64,1.35,0.93,0.71,1.88,2.45,0.52,1.26,1.44,1.22,0.74,3.06,0.89,1.72,5.21,1.07,1.73,2.05,1.3,1.88,3.44,2.85,1.31,5.37,0.5,0.13,3.24,2.89,3.1,2.4,2.23,4.14,3.52,2.06,1.4,0.59,0.83,0.25,1.1,1.45,2.13,2.03,3.16,0.99,2.02,2.23,3.51,2.24,0.83,1.53,1.69,1.77,3,3.31,4.38,0.31,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,0.89,2.55,1.33,6.31,2.75,4.17,3.51,3.27,2.96,1.35,4.48,1.8,2.59,1.4,1.72,6.61,1.03,2.12,4.56,5.47,1.12,4.13,3.72,2.1,2.94,4.21,2.93,2.27,3.76,3.98,3.2,1.39,2.1,1.03,0.53,4.35,4.32,3.16,2.16,1.54,3.3,3.71,0.99,0.73,4.9,1.39,1.5,3.7,1.66,2.89,2.54,5.32,2.65,0.97,3.09,2.42,3.83,3.59,0.7,0.51,2.44,6.35,0.4,0.62,4.03,2.8,2.05,1.65,1.48,2.51,4.29,2.14,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
