NORTHAMPTON GT BILLING REC,,,,,,,,,,,,
Grid ref,SP809628,Long,-0.816191,Lat,52.257431,,,,,,,
Station no,RR7042,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.75,1.87,2.32,0.74,3.73,1.02,1.08,0.99,,
February,,,1.40,0.78,3.35,0.46,1.70,1.11,0.89,0.53,,
March,,,1.11,2.69,1.30,2.13,1.38,0.90,3.26,2.55,,
April,,,1.31,1.60,1.08,1.56,0.54,2.15,3.48,1.71,,
May,,,1.92,4.02,2.10,0.80,1.18,5.39,1.49,1.31,,
June,,,2.47,3.87,0.40,3.17,3.57,1.65,1.15,3.40,,
July,,,1.42,2.70,3.10,1.07,2.31,2.32,3.04,2.46,,
August,,,2.19,3.72,2.36,3.00,1.19,1.92,3.20,1.87,,
September,,,1.41,2.27,2.01,1.30,0.94,0.48,1.61,3.14,,
October,,,1.81,5.19,0.70,0.78,3.72,4.14,1.13,3.32,,
November,,,1.64,1.65,1.20,2.45,3.74,2.00,0.89,1.00,,
December,,,1.14,1.05,1.47,0.78,2.23,3.39,1.70,3.91,,
Total,,,18.57,31.41,21.39,18.24,26.23,26.47,22.92,26.19,,
Calc annual,0.00,0.00,18.57,31.41,21.39,18.24,26.23,26.47,22.92,26.19,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
