LONG-MELFORD-STAFFORD-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL847456,Long,0.69387,Lat,52.077946,Elevation,103,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1339/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.25,4.37,1.02,1.32,2.33,3.38,1.27,1.27,1.19,1.71,3.46,1.22,1.09,1.74,1.92,0.77,1.16,1.81,2.39,1.23,1.86,1.7,2.12
February,,,,,,,,0.43,0.79,1.34,1.43,0.76,0.77,0.98,1.29,1.82,1.32,1.23,1.08,2.51,3.29,0.64,0.85,1.61,1.65,0.46,1.99,2.36,0.12,1.05
March,,,,,,,,0.35,1.59,2.61,2.95,1.16,0.72,0.5,0.92,0.84,4.08,0.74,0.73,0.51,2.73,2.59,0.44,1.93,1.25,0.4,1.58,0.69,1.63,1.33
April,,,,,,,,0.26,2.03,1.35,1.34,0.76,0.87,1.28,0.91,0.71,1.5,1.44,1.59,1.39,2.79,1.02,2.21,0.29,0.27,0.76,0.14,0.9,1.81,0.64
May,,,,,,,,1.41,1,1.74,1.46,1.71,0.74,0.91,3.22,1.16,0.67,2.31,2.04,1.46,2.34,0.96,1.33,1.57,1.93,0.55,0.99,2.02,0.41,0.58
June,,,,,,,,1.08,1.36,0.53,0.49,0.42,1.75,1.37,2.1,2.95,3.11,1.73,0.67,1.18,1.12,1.05,3.18,2.57,2.31,1.77,1.31,4.57,2.15,1.11
July,,,,,,,,1.21,2.98,3.54,2.54,2.3,1.27,1.64,1.55,6.15,2.52,1.03,0.97,2.05,1.75,0.65,2.2,2.71,0.11,2.84,2.57,2.66,2.45,2.35
August,,,,,,,,1.74,2.34,0.63,3.62,1.76,1.12,1.62,1.96,3.84,0.11,3.42,1.16,2.14,2.14,2.93,1.46,3.39,1.29,5.18,2.08,3.45,0.63,2.87
September,,,,,,,,1.49,0.8,0.58,0.23,1.97,1.6,3.25,3.2,2.61,1.14,1.24,0.69,2.85,3.27,3.24,1.71,1.08,1.88,1.5,2.55,2.9,0.03,3.06
October,,,,,,,,2.16,4.66,1.54,1.66,3.77,1.35,2.99,2.25,2.36,0.12,1.41,4.57,0.49,0.94,2.01,2.2,1.92,3.85,2.41,1.81,1.85,1.88,5.87
November,,,,,,,,1.86,3.57,5.45,1.81,2.33,1.77,3.27,0.44,2.92,0.91,1.68,1.84,3.22,3.32,3.81,1.16,3.15,1.47,0.8,2.22,1.22,1.79,2.82
December,,,,,,,,2.31,0.93,1.45,1.16,2.04,1.43,0.9,2.56,2.28,2.22,1.18,1.81,1.45,1.42,2.26,0.7,1.92,1.54,1.75,1.63,2.96,3.42,2.48
Total,,,,,,,,16.55,26.42,21.78,20.01,21.31,16.77,19.98,21.67,28.83,19.41,20.87,18.37,20.34,26.85,23.08,18.21,23.3,19.36,20.81,20.1,27.44,18.02,26.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
