DUNSTER-SCHOOLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS989437,Long,-3.447881,Lat,51.183559,Elevation,160,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.9,0.95,4.86,5.29,5.88,3.19,3.26,2.24,3.7,4.3,,4.81,4.65,1.06,6.45,3.28,5.47,2.04,3.41,1.32,4.13,6.72,4.41,7.25,3.06,4.01,4.01,7.05,2.52,3.3,3.66,4.2,7.15,1.01,1.01,4.12,4.43,0.56,2.69,3.21,3.8,2.35,2.57,4.49,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,5.71,0.87,1.98,3.98,1.03,0.16,4.27,8.5,0.56,5.33,,3.52,3.31,1.12,1.56,2.22,0.05,4.46,0.2,3.41,2.03,6.19,1.45,1.83,2.46,3.92,0.24,2.57,0.61,2.59,3.34,1.72,1.76,1.58,6.51,4.74,1.73,1.9,3.38,2.71,0.4,5.68,4.24,0.22,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.97,2.4,1.35,5.4,3.78,1.8,3.63,1.02,1.25,0.62,,3.29,3.68,0.3,2.9,1.39,2.6,3.11,2.74,1.23,2.81,5.1,0.03,1.92,2.46,3.9,2.13,1.21,0.21,1.1,0.94,6.06,1.68,1.22,1.8,4.95,2.76,1.1,3.93,1.35,1.26,2.51,1.06,3.11,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.93,2.31,2.9,2.32,4.58,1.15,3.8,1.95,2.88,2.06,,1.19,1.54,0.66,3.48,3.71,2.55,0.9,2.73,4.48,1.83,2.54,0.15,2.79,3.81,1.52,1.83,0.78,1.61,0.89,3.24,3.51,2.82,1.82,2.35,4.05,4.29,,0.27,0.99,1.34,0.09,0.48,3.37,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.45,2.13,0.88,0.9,1.33,2.14,0.83,2.77,3.16,3.43,,0.89,0.79,2.99,1.29,3.46,2.88,2.31,1.79,1.4,0.9,2.37,2.37,1.36,1.46,1.8,5.09,3.53,1.01,3.39,5.51,2.26,3.66,2.55,2.7,3.05,4.33,,1.73,4.44,0.49,1.63,3.23,0.89,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.8,5.06,1.43,1.05,1.81,0.31,0.44,0.65,2.93,0.06,,2.76,2.34,2.14,0.34,3.26,0.86,1.77,1.75,2.63,2.29,0.65,2.07,1.67,0.83,1.81,0.44,1.13,2.36,2.48,1.71,2.03,1.56,0.38,0.97,1.04,2.18,,3.53,3.95,1.4,1.37,3.63,1.66,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.82,2.76,3.81,1.67,3.99,0.63,2.49,1.3,3.71,2.62,,3.23,1.71,1.19,2.12,2.63,3.22,2.2,0.41,1.02,4.99,1.69,2.65,3.28,4.73,2.05,1.47,2.15,1.1,2.98,2.27,1.65,1.91,2.42,3.45,1.32,1.59,,2.83,0.78,2.78,3.2,1.41,2.65,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,6.16,6.03,2.63,2.55,1.65,1.4,3.81,2.81,5.7,2.78,,3.73,1.73,2.06,5.91,4.52,0.69,1.25,4.26,2.67,0.32,0.34,5.45,2.52,0.2,3.2,3.53,2.21,4.42,1.65,5.16,0.75,3.4,2.57,5.58,3.15,5.72,,2.46,0.67,3.2,2.6,2.71,4.03,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.65,1.53,7.47,1.94,1.56,2.62,1.83,2.97,4.66,3.37,,6.92,1.28,0.52,4.25,1.28,4.22,1.85,2.4,6.73,2.74,3.79,0.9,0.68,1.97,0.57,2.14,4.47,4.1,2.99,4.23,0.41,1.59,4,4.93,2.34,3.23,,3.65,1.8,4.56,4.26,5.05,0.09,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.96,6.25,2.26,2.33,3.55,1.5,1.86,6.18,6.07,3.1,,2.26,4.63,5.67,3.67,1.25,7.26,4.12,3.5,4.49,2.65,4.73,4.13,2.6,5.85,1.99,2.75,3.13,4.03,4.54,1.22,0.67,3.86,6.19,1.46,1.38,5.14,2.7,3.05,1.25,1.78,2.6,3.05,4.15,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,4.52,1.71,3.22,3.06,2.75,2.22,1.9,4.2,3.67,2.68,,3.08,3.75,11.94,4.58,7.1,2.29,0.73,1.8,5.84,3.78,2.06,4.77,6.24,10.36,3.17,1.6,3.26,6.79,0.97,6.84,3.2,1.68,4.3,7,5.89,4.05,,8.27,3.48,0.97,2.24,2.08,6.14,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,3.09,0.81,4.96,6.39,3.92,2.99,6.21,3.5,5.39,4.57,,2.73,4.6,10.61,5.23,2.39,3.23,1.23,7.62,5.56,3.88,3.24,3.73,2.43,3.03,2.58,4.38,2.78,4.39,5.71,4.58,2.47,5.83,2.14,3.13,4.26,3.91,,3.92,5.78,4.45,1.93,3.99,8.44,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,38.96,32.81,37.75,36.88,35.83,20.11,34.33,38.09,43.68,34.92,,38.41,34.01,40.26,41.78,36.49,35.32,25.97,32.61,40.78,32.35,39.42,32.11,34.57,40.22,30.52,29.61,34.27,33.15,32.59,42.7,28.93,36.9,30.18,40.89,40.29,43.36,,39.71,30.41,26.43,30.46,33.5,39.24,42.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
