FELTON,,,,,,,,,,
Grid ref,NU179023,Long,-1.71952,Lat,55.314459,Elevation,300,ft,,
Station no,RR8698,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,3.68,1.42,4.11,1.43,,
February,,,,,1.54,1.01,1.29,0.45,,
March,,,,,2.4,2.38,2.94,1.85,,
April,,,,,2.1,2.39,1.45,0.72,,
May,,,,,1.45,3.86,3.17,1.85,,
June,,,,,0.74,0.93,1.43,0.31,,
July,,,,,4.27,1.34,3.63,1.87,,
August,,,,2.37,0.94,2.63,0.97,1.68,,
September,,,,4.09,2.25,3.6,2.21,4.58,,
October,,,,2.37,1.7,4.06,4.19,2.59,,
November,,,,1.66,1.56,1.75,4.38,,,
December,,,,2.42,2.22,0.93,3.93,,,
Total,,,,,24.85,26.3,33.7,,,
