WOKING-PERCY-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ003586,Long,-0.5612,Lat,51.31817,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,220/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.89,4.89,4.77,2.57,4.43,2.83,2.59,2.91,4.97,1.71,1.76,1.88,1.69,3.97,0.74,0.72,3.43,1.8,0.88,1.05,2.68,3.85,1.56,2.18,2.08,2.27
February,,,,,2.8,1.69,3.85,0.49,1.14,1.95,2.29,0.74,1.49,0.63,1.62,2.54,1.4,1.18,0.91,3.82,5.41,0.63,1.2,2.4,1.38,0.31,3.23,2.23,0.06,2.12
March,,,,,0.23,1.4,3.51,0.17,1.09,3.26,3.85,1.62,0.4,0.15,0.61,1.31,5,0.7,1.05,0.93,3.59,2.92,0.42,2.13,0.9,0.62,1.28,1.37,2.73,1.43
April,,,,,3.33,1.58,2.2,0.06,1.9,1.73,1.34,1.39,1.09,1,1.15,1.39,1.73,1.44,2.11,3.09,2.48,1.48,2.22,0.28,0.18,1.03,0.25,1.09,1.95,0.62
May,,,,,1.3,0.79,2.09,1.39,2.17,1.13,1.93,2.99,2.7,0.89,1.4,3.21,1.34,1.97,1.71,1.4,2.39,2.02,1.98,2.38,3.01,0.25,1.18,2.7,0.61,1.61
June,,,,,2.8,2.8,1.73,0.57,1.32,0.72,2.29,1.83,1.24,2.42,2.08,2.66,2.64,2.89,0.68,1.05,0.88,2.13,1.58,3.46,2.48,1.75,0.91,3.32,0.59,1.58
July,,,,,1.53,3.67,0.94,1.17,2.3,2.23,4.43,1.49,2.29,1.78,4.55,2.25,3.39,0.74,0.78,3.94,1.49,0.51,3.94,2.42,0.2,3.57,2.71,1.18,1.92,2.71
August,,,,,3.44,1.08,1.48,2.03,1.91,0.1,5.38,2.91,1.53,2,1.36,3.95,0.41,2.6,1.17,2.95,3.46,3.16,1.64,2.81,1.52,3.58,2.48,3.76,1.5,3.08
September,,,,1.37,3.62,2.55,1.71,1.46,0.79,1.43,0.27,1.07,1.96,1.85,1.95,3.09,0.97,1.35,0.62,2.69,2.03,3.7,2.08,1.94,1.15,2.66,2.86,3.41,0.1,2.48
October,,,,1.59,3.39,2.52,3.06,2.44,5.28,3.01,1.41,3.51,2.44,3.58,3.17,0.91,0.21,1.95,6.04,0.34,0.47,3.04,2.75,1.97,3.15,1.88,1.56,2.43,2.82,6.59
November,,,,2.27,5.28,3,1.61,3.64,4.89,7.14,3.29,1.97,1.32,3.64,0.21,4.5,0.91,1.57,2.29,5.13,6.46,2.83,1.39,4.39,1.54,0.64,2.7,2,2.75,3.96
December,,,,5.81,2.8,2.45,4.18,3.23,0.99,1.52,1.72,3.02,1.38,1.69,3.5,2.52,2.88,2.96,1.21,1.65,1.95,2.37,0.64,2.5,2.39,3.27,2.04,2.67,4.26,2.64
Total,,,,,31.41,28.42,31.13,19.22,28.21,27.05,30.79,25.45,22.81,21.34,23.36,30.21,22.57,23.32,19.31,27.71,34.04,26.59,20.72,27.73,20.58,23.41,22.76,28.34,21.37,31.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934-1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
