CHESTER-LEAD-WORKS-SHOT-TOWER,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ414666,Long,-2.8785499,Lat,53.19324,Elevation,227,ft.,,,,,,,,,,,,
Station no,RR4022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.85,1.29,1.16,,,,,,,,,,
February,,,,,,,,2.46,0.55,0.95,,,,,,,,,,
March,,,,,,,,4.39,0.18,0.54,,,,,,,,,,
April,,,,,,,,2.75,1.11,1.6,,,,,,,,,,
May,,,,,,,,2.98,2.13,1.33,,,,,,,,,,
June,,,,,,,,0.72,2.8,2.96,,,,,,,,,,
July,,,,,,,,,0.5,1.85,,,,,,,,,,
August,,,,,,,,3.39,3.09,3.94,,,,,,,,,,
September,,,,,,,,1.96,1.82,1.82,,,,,,,,,,
October,,,,,,,,1.31,1.35,0.52,,,,,,,,,,
November,,,,,,,,1.1,0.92,0.52,,,,,,,,,,
December,,,,,,,,1.24,1.17,0.41,,,,,,,,,,
Total,,,,,,,,,16.91,17.6,21.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the Lead works in Chester. All 3 gauges have been given the same NGR but could be +/- 200m. Altitudes match; the shot tower gauge is presumably on top of the tower.,,,,,,,,,,,,,,,,,,,,
