CHESTER-LEAD-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ414666,Long,-2.8785499,Lat,53.19324,Elevation,64,ft.,,,,,,,,,,,,
Station no,RR4022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,1.34,4.41,2.61,1.55,0.93,0.46,2.06,2.92,2.71,1.14,3.41,3.2,0.9,
February,,,,,,,2.43,2.07,1.01,2.36,1.37,3.1,1.78,2.03,2.76,2.41,0.93,0.32,0.92,
March,,,,,,,1.92,2.65,0.95,0.95,1.16,2.69,1.62,1.17,3.09,1.46,1.67,1.09,1.53,
April,,,,,,,2.54,2.73,1.45,2.32,1.13,0.88,3.59,0.79,0.92,1.55,1.54,0.61,1.01,
May,,,,,,,0.52,2.34,3.48,2.31,2.88,1.58,2.16,1.09,0.94,1.38,6.74,1.83,0.59,
June,,,,,,,2.08,1.3,3.54,4.03,2.01,1.98,3.95,2.94,2.06,2.34,2.09,1.42,2.06,
July,,,,,,,1.94,5.77,0.8,3.32,6.66,1.55,3.52,1.86,4.08,1.05,2.6,2.2,5.82,
August,,,,,,,2.75,4.73,4.54,6.75,2.04,3.86,2.53,1.64,1.05,1.36,0.93,1.49,3.62,
September,,,,,,,4.03,2.78,3.18,2.94,2.13,1.83,1.8,5.07,1.95,3.3,3.18,2.94,1.03,
October,,,,,,,2.29,2.8,2.94,1.25,4.66,2.5,2.45,3.41,1.13,5.63,4.27,2.56,0.92,
November,,,,,,,4.46,2.9,2.16,0.97,2.64,2.31,4.13,2.62,2.17,2.89,2.54,1.06,4.2,
December,,,,,,,3.38,2.62,2.92,1.29,5.03,2.54,4.32,1.24,1.99,0.9,3.77,1.87,1.72,
Total,,,,,,,29.68,37.1,29.58,30.04,32.64,25.28,33.91,26.78,24.85,25.41,33.67,20.59,24.32,
,,,,,,,,,,,,,,,,,,,,
NGR is the Lead works in Chester. All 3 gauges have been given the same NGR but could be +/- 200m. Altitudes match; the shot tower gauge is presumably on top of the tower.,,,,,,,,,,,,,,,,,,,,
