"BROAD OAK (GLANMONNOW HOUSE)",,,,,,,,,,,,
Grid ref,SO464210,Long,-2.780160,Lat,51.884969,,,,,,,
Station no,2214/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,2.34,0.77,2.10,,,,,,,,
February,3.97,0.52,1.57,2.40,,,,,,,,
March,3.99,2.06,1.09,2.61,,,,,,,,
April,2.26,2.09,3.78,0.21,,,,,,,,
May,3.65,3.78,2.13,2.08,,,,,,,,
June,1.03,2.09,1.70,4.29,,,,,,,,
July,1.48,1.65,3.92,1.56,,,,,,,,
August,3.93,5.66,4.19,3.72,,,,,,,,
September,2.90,2.81,3.21,2.11,,,,,,,,
October,1.03,4.75,3.43,4.28,,,,,,,,
November,7.06,4.31,2.08,6.92,,,,,,,,
December,2.96,2.17,1.58,2.64,,,,,,,,
Total,37.70,34.23,29.45,34.92,,,,,,,,
Calc annual,37.70,34.23,29.45,34.92,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
