NORMANTON-ON-SOAR,,,,,,,,,,,,,,,,,,,,
Grid ref,SK516231,Long,-1.2360544,Lat,52.802996,Elevation,118,ft,,,,,,,,,,,,
Station no,RR7215,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,0.85,0.32,0.4,2.11,2.29,2.2,1.3,2.63,2.11,0.69,
February,,,,,,,,,,2.28,2.55,3.3,2.06,3.15,0.89,2.91,0.28,0.44,1.67,
March,,,,,,,,,,0.81,1.4,1.74,1.26,0.98,1.65,1.05,2.33,1.25,2.38,
April,,,,,,,,,,2.33,1.25,1.12,2.56,2.16,1.9,1.79,1.65,1.22,1.95,
May,,,,,,,,,,2.39,1.37,1,1.82,2.44,1.06,1.95,4.95,1.74,0.73,
June,,,,,,,,,,4.05,3.59,1.89,3.78,3.5,1.2,3.32,1.55,0.97,2.2,
July,,,,,,,,,,2.7,6.53,1.58,3.4,2.58,3.23,0.09,2.78,0.88,5.44,
August,,,,,,,,,,3.24,1.27,4.85,1.73,1.65,1.86,2.29,1.85,1.3,2.31,
September,,,,,,,,,,3.12,4.28,1.93,1.74,4.1,1.3,3.3,1.4,2.84,1.26,
October,,,,,,,,,,0.85,5.14,2.66,5.22,2.56,0.89,5.45,4.39,1.45,0.33,
November,,,,,,,,,,1.37,1.61,2.1,3.04,3.61,1.12,2.54,1.43,1.5,3.63,
December,,,,,,,,,,0.61,2.6,2.24,4.58,0.59,1.99,0.51,3.28,1.26,1.78,
Total,,,,,,,,,,24.6,31.91,24.81,33.3,29.61,19.29,26.5,28.52,16.96,24.37,
