SLAIDBURN-THORNEYHOLME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD662499,Long,-2.516425,Lat,53.944095,Elevation,380,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,3076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,6.03,5.51,6.43,10.14,6.67,4.11,5.81,7.21,7.19,11.46,4.96,6.46,5.18,5.36,7.97,5.72,16.27,3.14,9.02,7.61,7.33,,,,,,,,
February,,,2.96,3.7,4.98,7,6.25,1.46,9.04,1.29,6.05,0.48,8.23,5.74,1.21,6.42,8.72,3.36,7.7,1.03,0.8,6.09,0.15,,,,,,,,
March,,,9.58,9.3,7.52,3.22,2.53,4.23,2.32,8.28,5.72,8.46,3.3,2.08,2.19,2.47,3.51,4.84,4.21,2.08,4.33,1.22,4.34,,,,,,,,
April,,,1.57,6.31,1.86,2.99,5.34,2.53,1.58,5.71,8.35,2.34,3.44,3.96,2.16,3.63,2.6,4.55,1.97,1.97,2.71,3.93,5.55,,,,,,,,
May,,,3.12,2.69,3.64,2.18,3.46,2.33,2.35,2.15,8.3,3.08,1.87,5.51,6.39,4.78,4.1,2.06,0.84,2.86,2.34,2.75,5.39,,,,,,,,
June,,,9.24,4.27,1.52,1.15,4.41,3.81,2.25,2.47,2.29,0.24,2.83,0.98,2.93,0.12,3.5,5.7,10.6,2.41,2.3,6.07,1.84,,,,,,,,
July,,,3.6,1.54,4.44,5.37,3.22,2.14,4.51,2.74,8.37,3.05,7.2,5.05,5.1,2.18,4.85,7,4.53,4.67,4.84,6.12,7.1,,,,,,,,
August,,,9.78,2.14,3.5,5.69,4.96,9.66,4.66,5.56,2.28,7.56,6.86,8.14,8.57,5.56,4.36,8.34,7.17,8.66,9.32,5.32,1.77,,,,,,,,
September,,,3.18,3.41,7.12,0.99,4.99,5.61,14.23,5.39,3.41,2.83,6.12,6.77,6.78,4.67,6.66,9.81,2.12,3.11,4.08,2.53,9.55,,,,,,,,
October,,,6.9,3.31,2.66,0.95,12.64,10.55,5.61,3.37,1.59,4.22,1.27,7.86,6.13,7.69,5.33,6.28,8.55,9.22,10.55,3.93,9.25,,,,,,,,
November,,,7.44,9,9.45,1.94,5.13,6.69,4.3,4.21,4.37,3.16,3.75,10.59,5.14,3.25,8.3,7.22,8.61,10.06,8.39,9.46,5.34,,,,,,,,
December,,,7.86,5.46,8.48,9.85,4.85,3.48,12.1,10.51,5.69,10.7,7.2,5.46,6.68,4.88,1.92,1.9,5.07,11.14,5.81,4.55,3.77,,,,,,,,
Total,,,71.26,56.64,61.6,51.47,64.45,56.6,68.76,58.89,63.61,57.58,57.03,68.6,58.46,51.01,61.82,66.78,77.64,60.35,64.49,59.58,61.38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Thorneyholme stated altitude slightly high, gauge could be 250m E or W to match stated altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some 1927 readings have been amended in red but no reasons given. Readings left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
