HIGHWEEK-NEWTON-BUSHEL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX846719,Long,-3.6294,Lat,50.5364,Elevation,300,ft,,,,,,,,,,,,
Station no,RR2915,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,6.62,7.87,4.6,5.73,0.56,4.9,3.24,0.51,,6.1,1.62,3.69,5.15,3.31,6.56,6.77,5.98,4.56,
February,,1.18,1.34,4.11,0.54,4.29,3.51,1.79,1.5,,1.42,3.36,1.36,1.44,1.89,4.51,5.94,3.29,1.98,
March,,5.29,1.48,0.58,0.39,3.12,2.62,4.94,1,,3.78,4.08,6.37,2.57,3.18,2,4.57,7.71,2.15,
April,,1.66,0.86,3.22,0.27,0.64,5.2,4.84,4.55,3.53,1.63,0.23,3.47,2.01,1.04,0.63,2.46,3.33,3.3,
May,,1.24,3.21,1.86,2.88,3.07,2.98,2.23,2.98,1.53,4.27,1.6,2.45,2.49,1.82,3.58,2.6,5.51,1.97,
June,,1.74,4.96,,3.08,3.44,1.15,1.4,2.04,1.31,8.87,4.05,3.63,3.23,1.34,2.78,1.24,0.49,0.61,
July,,4.26,0.96,,2.18,2.82,0.59,0.97,3.36,1.95,1.53,4.99,2.21,1.46,0.54,3.4,0.55,4.86,0.38,
August,,1.98,4.26,3.78,0.46,1.1,4.34,0.23,1.34,3.24,4.4,0.78,2.53,3.18,1.23,4.82,1.85,0.94,4.16,
September,,0.94,3.13,5.51,1.06,1.04,3.17,1.48,2.22,3.51,2.37,2.55,3.42,3.24,1.93,0,8.31,2.08,6.42,
October,,3.41,5.68,6.08,4,1.84,2.51,7.51,,6.41,2.29,2.62,7.2,6.34,1.66,7.66,2.68,2.79,2.22,
November,,1.67,11.16,3.57,2.39,1.05,0.68,1.53,,5.91,4.74,5.66,1.06,2.88,3.93,6.08,1.46,0.85,3.91,
December,,1.31,5.81,5.65,1.37,3.25,4.52,0.89,,5.22,6.62,2.91,3.06,3.3,3.53,4.66,2.97,1.61,9.05,
Total,,31.3,50.72,,24.35,26.22,36.17,31.05,,,48.02,34.45,40.45,37.29,25.4,46.68,41.4,39.44,40.71,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The obs lived in one of the houses in Castle Ditch,,,,,,,,,,,,,,,,,,,,
He moved from Exeter,,,,,,,,,,,,,,,,,,,,
