GREAT-CORNARD-BROOK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL885393,Long,0.74578235,Lat,52.020091,Elevation,77,ft,,,,,,,,,,,,
Station no,1334/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.61,4.06,2.42,5.59,1.57,2.09,,,,,,,,,
February,,,,,,2,2.69,0.53,0.86,1.58,2.18,,,,,,,,,
March,,,,,,0.47,3.29,0.45,1.68,2.66,3.14,,,,,,,,,
April,,,,,,1.23,3.03,0.26,2.38,1.51,1.33,,,,,,,,,
May,,,,,,1.18,2.22,1.49,1,1.72,1.41,,,,,,,,,
June,,,,,,2.36,1.85,1.1,1.98,0.56,0.75,,,,,,,,,
July,,,,,,3.02,1.53,1.11,2.44,3.15,2.11,,,,,,,,,
August,,,,,,0.57,1.13,1.09,2.72,0.1,,,,,,,,,,
September,,,,,,1.96,1.1,1.63,0.37,0.73,,,,,,,,,,
October,,,,,,1.66,1.49,2.59,5.86,1.96,,,,,,,,,,
November,,,,,,3.18,1.24,2.16,3.92,6.88,,,,,,,,,,
December,,,,,,1.38,3.04,2.78,1.39,1.7,,,,,,,,,,
Total,,,,,,22.62,26.67,17.61,30.19,24.12,,,,,,,,,,
