CHURCH-GRESLEY-MAURICE-LEA-PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK299187,Long,-1.5583184,Lat,52.765078,Elevation,400,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2644/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.3,4.74,3.18,3.43,2.67,3.98,2.43,1.49,1.55,1.69,5.04,1.25,0.74,2.5,2.04,1.05,0.93,1.56,2.47,1.23,1.55,3.12,5.33
February,,,,,,,,0.61,1.31,2.95,2.34,0.77,0.78,1.58,2.02,3.65,2,1.02,0.58,3.95,2.29,0.52,1.31,1.89,1.93,0.9,2.32,2.78,0.19,1.24
March,,,,,,,2.27,0.37,1.68,1.73,3.06,1.88,1.23,0.07,0.58,0.82,5.1,0.97,1.59,1.03,3.8,2.35,1.07,1.98,2.83,1.14,2.2,1.32,1.55,1.48
April,,,,,,,2.09,0.14,1.51,2.1,1.8,1.09,1.56,1.67,0.96,1.2,1.79,1.27,2.64,2.29,1.79,2.26,2.03,0.43,1.18,0.85,0.16,0.38,2.69,0.98
May,,,,,,,2.15,1.58,1.5,1.2,2.42,3.32,3.16,1.32,1.84,1.57,1.84,1.46,2.81,2.06,2.66,3.02,1.97,2.58,3.58,0.53,0.85,1.39,0.42,1.5
June,,,,,,,0.47,1.58,1.12,0.61,1.18,0.19,2.01,1.4,1.52,3.01,1.08,2.35,0.2,1.15,0.81,2.18,2.5,1.69,2.91,2.92,1.6,4.78,0.49,3.87
July,,,,,,,2.64,2.68,4.14,2.49,4.68,2.39,0.74,2.61,1.51,1.27,3.43,1.91,3.14,1.91,0.84,0.69,2.4,2.83,0.74,1.58,5.69,5.34,1.37,2.98
August,,,,,,,0.59,2.32,3.66,0.24,4.38,2.08,2.65,1.68,1.4,4.35,0.25,4.33,1.32,3.59,5.23,1.85,2.79,5.14,0.36,5.01,1.78,1.41,0.6,2.93
September,,,,,,,1.45,3.57,0.75,0.75,0.34,1.02,1.85,2.91,0.93,3.43,1.88,2.84,1.7,3.02,1.38,1.71,2.17,1.6,1.23,2.03,5.67,2.27,0.06,3.93
October,,,,,,,2.23,2.28,3.15,3.55,2.89,2.29,1.62,2.34,2.13,0.91,0.29,2.52,4.57,0.99,0.57,2.35,2.21,3.6,1.89,1.13,1.17,2.85,2.31,4.49
November,,,,,,,1.55,2.55,4.48,5.9,2.78,1.43,1.49,3.24,0.2,4.64,1.95,1.61,3.18,3.95,4.73,1.69,1.71,3.46,1.77,0.7,1.9,1.92,2.63,3.1
December,,,,,,,2.06,3.4,1.57,2.02,0.89,2.4,0.77,1.23,1.71,2.62,2,3.44,1.43,1.45,1.77,2.62,1.26,3.52,1.45,2.85,1.71,2.83,3.24,2.8
Total,,,,,,,,24.38,29.61,26.72,30.19,21.53,21.84,22.48,16.29,29.02,23.3,28.76,24.41,26.13,28.37,23.28,22.47,29.65,21.43,22.11,26.28,28.82,18.67,34.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3119 CHURCH GRESLEY: MAURICE LEA PARK Start 1937 end 1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Maurice Lea Park.Altitudes match. 1950s record has an NGR of SK305189, which is 600m from the park. NGR used is the same as MIDAS and station continued to 1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1947 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
