WYSALL-WYN-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK605275,Long,-1.1032427,Lat,52.841622,Elevation,283,ft,,,,,,,,,,,,
Station no,2588/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.11,0.86,2.66,1.86,0.94,,,,,,,
February,,,,,,,,,0.54,3.59,3.12,0.58,1.46,,,,,,,
March,,,,,,,,,1.34,0.98,3.26,2.3,1.12,,,,,,,
April,,,,,,,,,2.12,1.86,1.55,1.83,1.98,,,,,,,
May,,,,,,,,,1.75,1.85,3.44,2.36,1.71,,,,,,,
June,,,,,,,,,0.72,1.06,1.44,1.51,2.25,,,,,,,
July,,,,,,,,,2.99,1.95,0.91,0.41,1.57,,,,,,,
August,,,,,,,,3.48,1.35,2.58,5.46,1.82,2.37,,,,,,,
September,,,,,,,,2.46,1.34,2.65,1.06,1.32,1.48,,,,,,,
October,,,,,,,,2.85,4.62,0.76,0.95,1.94,2.94,,,,,,,
November,,,,,,,,1.22,3.19,4.02,4.55,2.3,1.28,,,,,,,
December,,,,,,,,3.16,1.52,1.36,1.58,2.09,0.9,,,,,,,
Total,,,,,,,,,22.59,23.52,29.98,20.32,20,,,,,,,
