DAVENTRY-HELIDON-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SP515579,Long,-1.2476104,Lat,52.216914,Elevation,600,ft,,,,,,,,,,,,
Station no,RR7038,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.47,2.2,3.51,1.56,2.66,0.59,,,,,,,,,
February,,,,,,1.35,2.74,2.13,1.78,3.1,3.63,,,,,,,,,
March,,,,,,0.83,3.25,2.23,0.8,0.83,1.49,,,,,,,,,
April,,,,,,2.22,3.98,2.67,2.17,2.88,1.83,,,,,,,,,
May,,,,,,2.51,0.48,3.11,5.26,2.86,1.02,,,,,,,,,
June,,,,,,2.96,2.39,0.85,2.33,5.71,1.81,,,,,,,,,
July,,,,,,6.35,0.88,5.62,0.5,3.36,7.4,,,,,,,,,
August,,,,,,0.67,2.25,4.16,7.32,4.05,1,,,,,,,,,
September,,,,,,2.84,6.29,2.05,2.19,3.57,4.59,,,,,,,,,
October,,,,,,7.15,1.53,1.9,3.51,1.01,5.49,,,,,,,,,
November,,,,,,4.39,3.71,3.05,3.41,1.24,2.19,,,,,,,,,
December,,,,,,1.17,5.68,2.02,1.5,0.66,2.88,,,,,,,,,
Total,,,,,,34.91,35.38,33.3,32.33,31.93,33.92,,,,,,,,,
