"FINNINGLEY AIRFIELD",,,,,,,,,,,,
Grid ref,SK658995,Long,-1.009789,Lat,53.488108,,,,,,,
Station no,311/5/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.37,1.61,0.39,1.26,,,,2.16,2.06,4.56,,
February,2.12,0.36,1.46,1.93,,,,3.32,0.08,1.72,,
March,2.21,1.58,0.51,1.57,,,,1.91,0.67,1.30,,
April,0.66,0.65,1.60,,,,,0.29,2.19,0.72,,
May,3.66,1.24,1.68,,,,,2.01,0.37,0.65,,
June,1.17,1.89,1.15,,,,,4.72,0.37,0.63,,
July,0.85,1.10,2.36,,,,,5.11,1.45,2.17,,
August,4.48,0.71,2.18,,,,,1.74,0.35,2.88,,
September,1.47,2.20,1.22,,,,,1.40,0.01,2.39,,
October,0.96,2.34,1.99,,,,,1.56,1.75,5.45,,
November,4.40,1.50,1.10,,,,,0.71,2.73,3.26,,
December,1.11,1.26,1.13,,,,,2.65,2.41,1.85,,
Total,24.46,16.44,16.77,,,,,27.58,14.44,27.58,,
Calc annual,24.46,16.44,16.77,4.76,0.00,0.00,0.00,27.58,14.44,27.58,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
