"KINGSTEIGNTON (FIRLEIGH ROAD)",,,,,,,,,,,,
Grid ref,SX871743,Long,-3.595199,Lat,50.557518,,,,,,,
Station no,1730/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,3.90,0.65,1.98,5.73,4.20,3.95,4.09,5.36,9.61,,
February,5.17,0.36,1.63,3.74,3.85,0.33,5.99,3.50,0.39,,,
March,4.93,3.20,0.61,3.63,1.84,1.53,3.35,2.43,4.23,,,
April,1.45,3.06,3.14,0.08,1.19,1.05,0.24,0.53,3.79,,,
May,2.49,2.29,3.73,2.31,3.72,0.81,2.28,3.65,1.58,,,
June,0.64,0.77,1.78,3.21,2.96,1.67,2.21,3.81,1.65,,,
July,1.13,1.02,1.99,2.37,2.62,3.35,2.59,3.98,1.95,,,
August,3.24,4.63,1.39,3.32,0.43,2.87,2.16,3.68,3.23,,,
September,3.71,3.48,3.20,2.98,1.12,6.85,2.61,4.66,0.15,,,
October,0.90,5.85,3.76,2.99,2.24,1.66,2.50,4.07,3.51,,,
November,6.61,6.25,2.05,8.58,3.75,1.35,2.68,2.37,8.72,,,
December,3.36,3.93,0.71,3.86,6.56,6.48,3.42,4.80,9.11,,,
Total,37.53,38.74,24.64,39.05,36.01,32.15,33.98,41.57,43.67,,,
Calc annual,37.53,38.74,24.64,39.05,36.01,32.15,33.98,41.57,43.67,9.61,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,,
