KINGSTEIGNTON-FIRLEIGH-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX871743,Long,-3.595199,Lat,50.557518,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1730/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.76,0.61,7.84,7.19,4.18,6.45,2.63,5.84,4.37,9.1,2.5,3.01,4.24,4.64,7.7,0.47,1.04,3.9,3.9,0.65,1.98,5.73,4.2,3.95,4.09,5.36,
February,,,,0.17,4.48,4.9,6.57,1.1,1.7,5.03,4.58,0.3,1.98,0.34,2.32,3.44,3.73,1.57,1.7,6.67,5.17,0.36,1.63,3.74,3.85,0.33,5.99,3.5,0.39,
March,,,,2.96,1.29,4.33,6.65,0.1,1.78,3.1,4.51,2.9,1.7,0.1,1.14,2.38,9.26,1.44,1.38,1.66,4.93,3.2,0.61,3.63,1.84,1.53,3.35,2.43,4.23,
April,,,,2.99,3.78,3.01,3.72,0.07,2.94,4.03,1.29,1.98,1.22,2.48,0.75,2.58,3.78,1.85,1.89,1.33,1.45,3.06,3.14,0.08,1.19,1.05,0.24,0.53,3.79,
May,,,,1.01,2.87,1.13,3.14,2.69,0.52,1.5,2.22,6.3,4.18,0.41,3.62,6.59,2.78,3.25,1.85,3.64,2.49,2.29,3.73,2.31,3.72,0.81,2.28,3.65,1.58,
June,,,,1.78,3.85,1.44,1.11,1.15,3.1,0.85,2.78,0.86,0.99,2.31,2.82,1.95,2.55,1.69,0.72,0.72,0.64,0.77,1.78,3.21,2.96,1.67,2.21,3.81,1.65,
July,,,,1.26,0.12,5.02,1.27,3.3,6.33,2.16,0.73,1.76,1.99,2.24,2.09,0.84,1.47,0.7,2.05,4.03,1.13,1.02,1.99,2.37,2.62,3.35,2.59,3.98,1.95,
August,,,,3.56,2.44,0.07,1.67,5.12,2.74,0.07,3.69,2.9,2.55,3.4,1.57,4.01,1.41,3.03,1.05,3.35,3.24,4.63,1.39,3.32,0.43,2.87,2.16,3.68,3.23,
September,,,,2.54,2.97,3.35,2.28,1.45,0.69,1.11,1.08,2.33,4.16,1.76,2.5,5.32,1.9,1.32,3.28,3.82,3.71,3.48,3.2,2.98,1.12,6.85,2.61,4.66,0.15,
October,,,,2.74,4.03,0.85,4.2,3.47,6.2,5.33,1.53,4.15,4.46,4.35,4.72,2.21,1,3.46,6.35,1.25,0.9,5.85,3.76,2.99,2.24,1.66,2.5,4.07,3.51,
November,,,,2.14,6.07,3.09,3.15,6.45,7.17,7.11,3.01,1.24,2.11,6.55,1.6,7.49,2.64,1.87,4.87,6.19,6.61,6.25,2.05,8.58,3.75,1.35,2.68,2.37,8.72,
December,,,,11.22,5.2,5.13,3.71,3.95,1.93,3.36,3.69,4.82,3.6,2.55,6.95,4.83,2.3,6.85,1.16,4.1,3.36,3.93,0.71,3.86,6.56,6.48,3.42,4.8,9.11,
Total,,,,35.13,37.71,40.16,44.66,33.03,41.55,36.28,34.95,33.91,38.04,28.99,33.09,45.88,37.46,34.73,26.77,37.8,37.53,38.74,24.64,39.05,36.01,32.15,33.98,41.57,43.67,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge previously at Barnstaple (Hele Maor Park) until 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr 11th Inspection Gauge home made Site reasonable or satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Jan 6th Terminated due to age of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
