PLAYDEN-HOUGHTON-COTTAGE,,,,,,,,,,
Grid ref,TQ927227,Long,0.743284,Lat,50.971474,Elevation,50,ft,,
Station no,0558/3/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,1.56
July,,,,,,,,,,3.56
August,,,,,,,,,,5.22
September,,,,,,,,,,3.16
October,,,,,,,,,,6.44
November,,,,,,,,,,6.49
December,,,,,,,,,,4.69
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Gauge record commences Jun 1960,,,,,,,,,,
