PETERSFIELD-THE-MOUNT-RAMSHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU752239,Long,-0.92944,Lat,51.00965,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,3.35,7.06,1.15,8.77,1.08,2.41,1.32,3.94,1.96,3.93,6.8,0.86,6.47,2.28,1.49,4.52,7.13,6.16,,,,,,,,,,
February,,,,2.43,5.01,0.76,4.15,1.95,1.63,0.59,5.89,2.58,3.59,1.34,8.31,8.28,5.75,0.98,2.45,3.23,0.88,,,,,,,,,,
March,,,,4.8,1.47,5.81,1.76,1.14,4.13,5.18,1.62,2.41,6.75,4.6,6.6,0.82,4.07,2.72,1.68,6.97,2.87,,,,,,,,,,
April,,,,2.62,1.74,1.71,0.8,5.25,2.66,1.86,2.19,2.24,0.32,3.74,1.71,1.87,1.12,2.58,2.71,3.37,4.39,,,,,,,,,,
May,,,,3.32,3.87,0.58,2.45,1.89,2.48,2.68,1.6,2.73,1.44,2.88,1.43,4.14,1.86,1.85,1.75,0.59,1.66,,,,,,,,,,
June,,,,3.43,0.92,5.31,1.96,3.69,0.89,3.18,3.53,2.23,4.76,0.51,0.51,1.83,2.24,3.21,1.53,0.79,1.51,,,,,,,,,,
July,,,,3.05,1.41,0.44,0.55,2.51,3.41,3.27,3.12,1,2.36,1.58,4.17,5.84,1.1,3.17,4.84,1.44,6.9,,,,,,,,,,
August,,,,5.57,2.95,3.65,0.97,2.54,6.12,2.52,4.18,0.78,7.54,1.59,2.33,1.77,4.01,6.36,1.4,3.8,1.91,,,,,,,,,,
September,,,,3.32,2.37,2.63,1.36,0.63,2.24,2.93,0.17,1.51,4.2,3.12,1.58,2.6,2.93,2.2,5.98,1.78,2.39,,,,,,,,,,
October,,,,10.13,2.89,2.3,6.43,8.16,2.91,9.17,4.16,4.87,4.66,5.03,2.98,4.23,6.85,5.59,1.85,0.61,5.08,,,,,,,,,,
November,,,,2.47,1.54,4.92,5.47,3.05,1.41,0.77,5.32,5.55,2.34,4.15,4.2,4.2,5.77,1.32,3.85,3.46,2.35,,,,,,,,,,
December,,,,4.22,3.9,0.9,2.33,4.84,4.71,5.46,8.06,12.88,6.14,2.13,12.98,10.72,4.44,1.77,4.2,7.94,4.44,,,,,,,,,,
Total,,,,48.71,35.13,30.16,37,36.73,35,38.93,43.78,40.74,48.03,37.47,47.66,52.77,42.42,33.24,36.76,41.11,40.54,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mount 36 Ramshill Next to Blue Anchor Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End 1920 Gauge moved to Monks Barn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
